name,address,area,city,phone,website,rating,review_count,categories,hours,google_maps_url,search_term,scraped_at,facebook_url,instagram_url,tiktok_url,google_review_count,doctor_count,staff_count,site_score,has_online_booking,comments,segment,segment_name,practice_type,review_recency,latest_review_age,review1_name,review1_rating,review1_text,review2_name,review2_rating,review2_text,review3_name,review3_rating,review3_text,review4_name,review4_rating,review4_text,review5_name,review5_rating,review5_text
Royal Lane Dental Center - Best Dentist in Dallas | Clear Aligners and Veneers in Dallas,"
8499 Greenville Ave #210, Dallas, TX 75231, United States",Dallas Core,DFW,+1 469-904-2080,https://www.royallanedental.com/,4.9,352,Dentist,Show open hours for the week,https://www.google.com/maps/place/Royal+Lane+Dental+Center+-+Best+Dentist+in+Dallas+%7C+Clear+Aligners+and+Veneers+in+Dallas/data=!4m7!3m6!1s0x864e9f6fa9b35d87:0x3da0c0b0ee984f50!8m2!3d32.8939444!4d-96.7546472!16s%2Fg%2F11hdf0s8ny!19sChIJh12zqW-fToYRUE-Y7rDAoD0?authuser=0&hl=en&rclk=1,dentist Downtown Dallas TX,2026-02-27T16:36:04.717761,https://www.facebook.com/royallanedentalcenter,https://www.instagram.com/royallanedentalcenter,,352,2,,10,yes,Has online booking; Has online booking,1,Leaky Funnel,Group,Fresh,30d ago,,,,,,,,,,,,,,,
Turtle Creek Dental Associates,"
3131 Turtle Creek Blvd #1000, Dallas, TX 75219, United States",Dallas Core,DFW,+1 214-740-4953,https://www.turtlecreekdental.com/,4.9,904,Dentist,Show open hours for the week,https://www.google.com/maps/place/Turtle+Creek+Dental+Associates/data=!4m7!3m6!1s0x864e9ecd152b5aaf:0x46fe6330e2e8f5ee!8m2!3d32.8059133!4d-96.804231!16s%2Fg%2F1tdfnp5y!19sChIJr1orFc2eToYR7vXo4jBj_kY?authuser=0&hl=en&rclk=1,dentist Downtown Dallas TX,2026-02-27T16:36:17.001942,https://www.facebook.com/turtlecreekdental,,,904,16,,10,yes,Has online booking; Large team (16 doctors); Facebook only; Has online booking,1,Leaky Funnel,Group,Fresh,14d ago,,,,,,,,,,,,,,,
Ideal Dental Uptown,"
4253 Cedar Springs Rd, Dallas, TX 75219, United States",Dallas Core,DFW,+1 214-522-4444,https://www.myidealdental.com/uptown/?utm_source=organic&utm_medium=soci&utm_campaign=websiteurl,4.4,928,Dentist,Show open hours for the week,https://www.google.com/maps/place/Ideal+Dental+Uptown/data=!4m7!3m6!1s0x864e9ec7a281951d:0xd25ffdf472133539!8m2!3d32.8135506!4d-96.8148933!16s%2Fg%2F1tdk5ldz!19sChIJHZWBoseeToYROTUTcvT9X9I?authuser=0&hl=en&rclk=1,dentist Downtown Dallas TX,2026-02-27T16:36:21.521237,https://facebook.com/DecaDentalGroup,https://instagram.com/decadentalgroup,,928,20,,9,no,Large team (20 doctors),1,Leaky Funnel,Group,Fresh,6d ago,,,,,,,,,,,,,,,
Highland Park Dental,"
6725 Hillcrest Ave Suite B&C, Dallas, TX 75205, United States",Dallas Core,DFW,+1 214-521-3730,https://www.hpdentist.com/,4.9,571,Dentist,Show open hours for the week,https://www.google.com/maps/place/Highland+Park+Dental/data=!4m7!3m6!1s0x864c205bce358855:0xc648d49c17bbf8f5!8m2!3d32.8482089!4d-96.7871363!16s%2Fg%2F1tk682bk!19sChIJVYg1zlsgTIYR9fi7F5zUSMY?authuser=0&hl=en&rclk=1,dentist Downtown Dallas TX,2026-02-27T16:36:27.712005,https://www.facebook.com/HpdentalDallas/timeline,,,571,12,,10,yes,Has online booking; Large team (12 doctors); Facebook only; Has online booking,1,Leaky Funnel,Group,Fresh,60d ago,,,,,,,,,,,,,,,
Bryan Place Dental | Dentistry & Orthodontics,"
4801 Bryan St Suite 400, Dallas, TX 75204, United States",Dallas Core,DFW,+1 214-823-1181,https://1dentalgrouptx.com/locations/bryan-dental-clinic-dallas/,4.9,541,Dentist,Show open hours for the week,https://www.google.com/maps/place/Bryan+Place+Dental+%7C+Dentistry+%26+Orthodontics/data=!4m7!3m6!1s0x864e98cb0e2fd39d:0x7a420b9df16dd9b2!8m2!3d32.8037255!4d-96.7742656!16s%2Fg%2F1z44zngsj!19sChIJndMvDsuYToYRstlt8Z0LQno?authuser=0&hl=en&rclk=1,dentist Downtown Dallas TX,2026-02-27T16:36:39.091847,,,,541,,,9,yes,Has online booking; No social media; Has online booking,1,Leaky Funnel,Group,Fresh,30d ago,,,,,,,,,,,,,,,
Ross Avenue Family Dental of Dallas,"
4540 Ross Ave #140, Dallas, TX 75204, United States",Dallas Core,DFW,+1 469-210-7223,https://www.rossavefamilydental.com/,4.9,563,Dentist,Show open hours for the week,https://www.google.com/maps/place/Ross+Avenue+Family+Dental+of+Dallas/data=!4m7!3m6!1s0x864e99df87ff8a41:0xe62115686f568405!8m2!3d32.8033607!4d-96.7789398!16s%2Fg%2F11q21kyx55!19sChIJQYr_h9-ZToYRBYRWb2gVIeY?authuser=0&hl=en&rclk=1,dentist Downtown Dallas TX,2026-02-27T16:36:44.512616,https://www.facebook.com/rossavefamilydental,,,563,2,,9,yes,Has online booking; Facebook only; Has online booking,1,Leaky Funnel,Group,Fresh,60d ago,,,,,,,,,,,,,,,
Luxe Dental,"
2990 Nowitzki Way #150, Dallas, TX 75219, United States",Dallas Core,DFW,+1 214-416-9931,http://luxedentaldallas.com/,4.6,139,Dentist,Show open hours for the week,https://www.google.com/maps/place/Luxe+Dental/data=!4m7!3m6!1s0x864e99397fcc50ed:0x8e87cbc321e7d1b7!8m2!3d32.7897372!4d-96.808425!16s%2Fg%2F11f4_6hfkr!19sChIJ7VDMfzmZToYRt9HnIcPLh44?authuser=0&hl=en&rclk=1,dentist Downtown Dallas TX,2026-02-27T16:36:54.713157,http://www.facebook.com/2008/fbml,https://www.instagram.com/luxedentaldallas,,139,4,,8,no,No SSL,1,Leaky Funnel,Group,Fresh,30d ago,,,,,,,,,,,,,,,
Park Central Dental,"
11411 N Central Expy, Dallas, TX 75243, United States",Dallas Core,DFW,+1 469-577-0339,https://www.parkcentraldentaltx.com/,5.0,488,Dental clinic,Show open hours for the week,https://www.google.com/maps/place/Park+Central+Dental/data=!4m7!3m6!1s0x864c200d774a39ed:0x4c072fc1355d3102!8m2!3d32.9036149!4d-96.770215!16s%2Fg%2F1261pgm8f!19sChIJ7TlKdw0gTIYRAjFdNcEvB0w?authuser=0&hl=en&rclk=1,dentist Downtown Dallas TX,2026-02-27T16:37:00.182024,https://www.facebook.com/people/Park-Central-Dental/100063765033179,https://www.instagram.com/park_central_dental,,488,15,,10,yes,Has online booking; Large team (15 doctors); Has online booking,1,Leaky Funnel,Group,Fresh,7d ago,,,,,,,,,,,,,,,
Jefferson Dental & Orthodontics - Dallas Dentist,"
5334a Ross Ave Ste 800, Dallas, TX 75206, United States",Dallas Core,DFW,+1 469-501-9769,https://www.jeffersondentalclinics.com/clinics/east-dallas-tx/?utm_source=organic&utm_medium=gmb03-ED,4.3,647,Dentist,Show open hours for the week,https://www.google.com/maps/place/Jefferson+Dental+%26+Orthodontics+-+Dallas+Dentist/data=!4m7!3m6!1s0x864e9f3585fc4829:0xd22daf085cfaa836!8m2!3d32.8088606!4d-96.7707302!16s%2Fg%2F1trrdm6y!19sChIJKUj8hTWfToYRNqj6XAivLdI?authuser=0&hl=en&rclk=1,dentist Downtown Dallas TX,2026-02-27T16:37:08.368604,https://www.facebook.com/jeffersondental,https://www.instagram.com/jeffersondental,https://www.tiktok.com/@jefferson_dental,647,3,,9,no,,1,Leaky Funnel,Group,Fresh,4d ago,,,,,,,,,,,,,,,
Skyline Dental Studio,"
3600 McKinney Ave #230, Dallas, TX 75204, United States",Dallas Core,DFW,+1 214-969-7455,https://www.skylinedentaldtx.com/,5.0,312,Dentist,Show open hours for the week,https://www.google.com/maps/place/Skyline+Dental+Studio/data=!4m7!3m6!1s0x864e9f0034d6e16b:0xc490ce95b74cfb58!8m2!3d32.8072418!4d-96.7972851!16s%2Fg%2F11wxcdpj4z!19sChIJa-HWNACfToYRWPtMt5XOkMQ?authuser=0&hl=en&rclk=1,dentist Downtown Dallas TX,2026-02-27T16:37:22.761669,https://www.facebook.com/tr,,,312,6,,9,yes,Has online booking; Large team (6 doctors); Facebook only; Has online booking,1,Leaky Funnel,Group,Fresh,28d ago,,,,,,,,,,,,,,,
Park Cities Family Dentistry,"
4131 N Central Expy Suite 600, Dallas, TX 75204, United States",Dallas Core,DFW,+1 214-528-3770,http://www.cosmeticdentistindallas.com/,4.1,157,Dentist,Show open hours for the week,https://www.google.com/maps/place/Park+Cities+Family+Dentistry/data=!4m7!3m6!1s0x864e9f220eaf29cd:0x979e2c95157b278!8m2!3d32.8148517!4d-96.7906011!16s%2Fg%2F1tgf3mkw!19sChIJzSmvDiKfToYReLJXUcnieQk?authuser=0&hl=en&rclk=1,dentist Downtown Dallas TX,2026-02-27T16:37:27.530666,https://www.facebook.com/ParkCitiesFamilyDentistryDrHubbardDds,https://www.instagram.com/parkcitiesfamilydentistry,,157,9,,9,yes,Has online booking; Large team (9 doctors); No SSL; Has online booking,1,Leaky Funnel,Group,Fresh,7d ago,,,,,,,,,,,,,,,
Deep Ellum Advanced Dentistry,"
3112 Main St, Dallas, TX 75226, United States",Dallas Core,DFW,+1 214-466-6610,http://deepellumdentist.com/,5.0,27,Dentist,Show open hours for the week,https://www.google.com/maps/place/Deep+Ellum+Advanced+Dentistry/data=!4m7!3m6!1s0x864e99aa5fbf3a39:0xc63bf0c961d1c3fc!8m2!3d32.7848758!4d-96.7780087!16s%2Fg%2F11lltscyl1!19sChIJOTq_X6qZToYR_MPRYcnwO8Y?authuser=0&hl=en&rclk=1,dentist Downtown Dallas TX,2026-02-27T16:37:41.898038,https://facebook.com/Deep,https://www.instagram.com/deepellumdentist,,27,6,,8,yes,Has online booking; Large team (6 doctors); No SSL,1,Leaky Funnel,Group,Aging,2yr 0mo ago,,,,,,,,,,,,,,,
Waverly Dental | Uptown Dallas,"
3839 McKinney Ave #130 On, Blackburn St, Dallas, TX 75204, United States",Dallas Core,DFW,+1 972-808-7676,https://getwaverlydental.com/,4.6,332,Dentist,Show open hours for the week,https://www.google.com/maps/place/Waverly+Dental+%7C+Uptown+Dallas/data=!4m7!3m6!1s0x864e9f91f8bb8a61:0xe8bb2e33067bd397!8m2!3d32.8092979!4d-96.7960759!16s%2Fg%2F11jgt7gg6m!19sChIJYYq7-JGfToYRl9N7BjMuu-g?authuser=0&hl=en&rclk=1,dentist Downtown Dallas TX,2026-02-27T16:37:46.075763,https://www.facebook.com/tr,https://www.instagram.com/p/DGTjr5CSEb-,,332,5,,10,yes,Has online booking; Has online booking,1,Leaky Funnel,Group,Fresh,21d ago,,,,,,,,,,,,,,,
Dental Loft,"
8132 Park Ln #155, Dallas, TX 75231, United States",Dallas Core,DFW,+1 214-890-7909,https://dentalloft.com/,4.9,375,Dental clinic,Show open hours for the week,https://www.google.com/maps/place/Dental+Loft/data=!4m7!3m6!1s0x864ea0212bac9c19:0x2a2736000e866eed!8m2!3d32.8703049!4d-96.76704!16s%2Fg%2F1hhxsy8zx!19sChIJGZysKyGgToYR7W6GDgA2Jyo?authuser=0&hl=en&rclk=1,dentist Downtown Dallas TX,2026-02-27T16:37:55.491901,https://www.facebook.com/tr,https://www.instagram.com/dentalloftdallas,,375,10,,9,yes,Has online booking; Large team (10 doctors),1,Leaky Funnel,Group,Fresh,14d ago,,,,,,,,,,,,,,,
Soleil Dental,"
4807 Maple Ave #300, Dallas, TX 75219, United States",Dallas Core,DFW,+1 214-304-2112,https://www.mysoleildental.com/,4.8,301,Dentist,Show open hours for the week,https://www.google.com/maps/place/Soleil+Dental/data=!4m7!3m6!1s0x864e9f2fc6e554ff:0x25e46b142178203e!8m2!3d32.8144329!4d-96.8269738!16s%2Fg%2F11r6_6jymc!19sChIJ_1Tlxi-fToYRPiB4IRRr5CU?authuser=0&hl=en&rclk=1,dentist Downtown Dallas TX,2026-02-27T16:38:08.188627,https://www.facebook.com/soleildentaldallas,https://www.instagram.com/soleil.dental,,301,23,,8,yes,Has online booking; Large team (23 doctors),1,Leaky Funnel,Group,Fresh,60d ago,,,,,,,,,,,,,,,
Midtown Family Dentistry,"
13309 Montfort Dr, Dallas, TX 75240, United States",Dallas Core,DFW,+1 469-529-6016,https://www.midtowndentistrydallas.com/,4.9,3429,Dentist,Show open hours for the week,https://www.google.com/maps/place/Midtown+Family+Dentistry/data=!4m7!3m6!1s0x864c217810f8c0eb:0x12722d6427dab4d2!8m2!3d32.9294632!4d-96.8116912!16s%2Fg%2F11h4lhb3y2!19sChIJ68D4EHghTIYR0rTaJ2QtchI?authuser=0&hl=en&rclk=1,dentist Downtown Dallas TX,2026-02-27T16:38:16.561927,https://www.facebook.com/tr,https://www.instagram.com/midtown_family_dentistry,,3429,2,,9,yes,Has online booking; Has online booking,1,Leaky Funnel,Group,Fresh,7d ago,,,,,,,,,,,,,,,
Luxe Dental,"
3000 Blackburn St Ste 140A, Dallas, TX 75204, United States",Dallas Core,DFW,+1 214-416-9931,http://www.luxedentaldallas.com/,4.5,252,Dentist,Show open hours for the week,https://www.google.com/maps/place/Luxe+Dental/data=!4m7!3m6!1s0x864e9ed5b264964b:0xeed2c10d2ba9142c!8m2!3d32.80883!4d-96.795522!16s%2Fg%2F1tfg3hg8!19sChIJS5ZkstWeToYRLBSpKw3B0u4?authuser=0&hl=en&rclk=1,dentist Downtown Dallas TX,2026-02-27T16:38:21.006698,http://www.facebook.com/2008/fbml,https://www.instagram.com/luxedentaldallas,,252,4,,8,no,No SSL,1,Leaky Funnel,Group,Fresh,30d ago,,,,,,,,,,,,,,,
Dallas Laser Dentistry,"
7557 Rambler Rd # 1023, Dallas, TX 75231, United States",Dallas Core,DFW,+1 214-256-4858,http://www.dallascosmeticdentist.us/?utm_campaign=gmb,4.9,845,Cosmetic dentist,Show open hours for the week,https://www.google.com/maps/place/Dallas+Laser+Dentistry/data=!4m7!3m6!1s0x864e9ff01ed2bab3:0xd02f004d475518e4!8m2!3d32.8851798!4d-96.7631601!16s%2Fg%2F1tplqr0t!19sChIJs7rSHvCfToYR5BhVR00AL9A?authuser=0&hl=en&rclk=1,dentist Downtown Dallas TX,2026-02-27T16:38:28.304543,,,,845,,,2,no,No social media; No SSL; No mobile viewport; Thin content,1,Leaky Funnel,Unknown,Fresh,21d ago,,,,,,,,,,,,,,,
Katy Trail Dental,"
3100 Monticello Ave Suite 110, Dallas, TX 75205, United States",Dallas Core,DFW,+1 214-380-9071,https://www.katytrail.dental/,4.8,378,Dentist,Show open hours for the week,https://www.google.com/maps/place/Katy+Trail+Dental/data=!4m7!3m6!1s0x864e9ed834f9d98b:0xcf0bf66abe16cfb7!8m2!3d32.8273554!4d-96.7856223!16s%2Fg%2F11ckr6hq17!19sChIJi9n5NNieToYRt88Wvmr2C88?authuser=0&hl=en&rclk=1,dentist Downtown Dallas TX,2026-02-27T16:38:33.881623,https://www.facebook.com/KatyTrailDental,https://www.instagram.com/katytraildental,,378,22,,10,yes,Has online booking; Large team (22 doctors); Has online booking,1,Leaky Funnel,Group,Fresh,30d ago,,,,,,,,,,,,,,,
Jefferson Dental & Orthodontics - West Dallas Dentist,"
4396 Tom Landry Fwy, I-30, Dallas, TX 75223, United States",Dallas Core,DFW,+1 469-517-3581,https://www.jeffersondentalclinics.com/clinics/pinnacle-park/?utm_source=organic&utm_medium=gmb13-PP,4.5,1077,Dentist,Show open hours for the week,https://www.google.com/maps/place/Jefferson+Dental+%26+Orthodontics+-+West+Dallas+Dentist/data=!4m7!3m6!1s0x864e98bc2766a05f:0xb3708a342a4e3c12!8m2!3d32.7644674!4d-96.8988007!16s%2Fg%2F1tf1p7g3!19sChIJX6BmJ7yYToYREjxOKjSKcLM?authuser=0&hl=en&rclk=1,dentist Downtown Dallas TX,2026-02-27T16:38:40.306061,https://www.facebook.com/jeffersondental,https://www.instagram.com/jeffersondental,https://www.tiktok.com/@jefferson_dental,1077,,,9,no,,1,Leaky Funnel,Group,Fresh,30d ago,,,,,,,,,,,,,,,
Affordable Dentist Near Me of Dallas,"
14902 Preston Rd STE 401, Dallas, TX 75254, United States",Dallas Core,DFW,+1 817-727-8039,https://affordabledentistnearme.com/locations/dallas/,4.6,483,Dentist,Show open hours for the week,https://www.google.com/maps/place/Affordable+Dentist+Near+Me+of+Dallas/data=!4m7!3m6!1s0x864c210fdbbd0e27:0x1b2d917c9b2ef274!8m2!3d32.9519907!4d-96.8024964!16s%2Fg%2F11fy_61mjd!19sChIJJw692w8hTIYRdPIum3yRLRs?authuser=0&hl=en&rclk=1,dentist Downtown Dallas TX,2026-02-27T16:38:45.988449,https://www.facebook.com/affordabledentistnearme,,,483,3,,10,yes,Has online booking; Facebook only; Has online booking,1,Leaky Funnel,Group,Fresh,14d ago,,,,,,,,,,,,,,,
University Park Dental of Park Cities,"
8222 Douglas Ave # 930, Dallas, TX 75225, United States",Dallas Core,DFW,+1 214-369-6216,https://dentistparkcitiestx.com/,5.0,159,Dentist,Show open hours for the week,https://www.google.com/maps/place/University+Park+Dental+of+Park+Cities/data=!4m7!3m6!1s0x864e9e437f6395df:0x38c4bd58cce13b33!8m2!3d32.8628453!4d-96.8081116!16s%2Fg%2F1t_hzdc7!19sChIJ35Vjf0OeToYRMzvhzFi9xDg?authuser=0&hl=en&rclk=1,dentist Downtown Dallas TX,2026-02-27T16:38:57.761684,https://www.facebook.com/people/University-Park-Dental/100057638311980,https://www.instagram.com/updentaltx,,159,10,,10,yes,Has online booking; Large team (10 doctors); Has online booking,1,Leaky Funnel,Group,Fresh,30d ago,,,,,,,,,,,,,,,
Jefferson Dental & Orthodontics - Dallas Dentist,"
3311 W Illinois Ave Ste 200, Dallas, TX 75211, United States",Dallas Core,DFW,+1 469-689-3226,https://www.jeffersondentalclinics.com/clinics/w-illinois-tx/?utm_source=organic&utm_medium=gmb12-WI,4.5,580,Dentist,Show open hours for the week,https://www.google.com/maps/place/Jefferson+Dental+%26+Orthodontics+-+Dallas+Dentist/data=!4m7!3m6!1s0x864e9a7d27b1a405:0xd40eb44a85aeee94!8m2!3d32.7207869!4d-96.8753529!16s%2Fg%2F1ts3g0fz!19sChIJBaSxJ32aToYRlO6uhUq0DtQ?authuser=0&hl=en&rclk=1,dentist Downtown Dallas TX,2026-02-27T16:39:05.709615,https://www.facebook.com/jeffersondental,https://www.instagram.com/jeffersondental,https://www.tiktok.com/@jefferson_dental,580,4,,9,no,,1,Leaky Funnel,Group,Fresh,21d ago,,,,,,,,,,,,,,,
Priority Emergency Dental Care,"
500 S Ervay St, Dallas, TX 75201, United States",Dallas Core,DFW,+1 469-983-3501,https://www.priorityemergencydental.care/locations/dallas-texas-location-2/,5.0,,Emergency dental service,,https://www.google.com/maps/place/Priority+Emergency+Dental+Care/data=!4m7!3m6!1s0x864e9900418f8d89:0xf8895b8880630c5!8m2!3d32.7772411!4d-96.7956303!16s%2Fg%2F11wv7jl5dt!19sChIJiY2PQQCZToYRxTAGiLiViA8?authuser=0&hl=en&rclk=1,dentist Downtown Dallas TX,2026-02-27T16:39:18.371728,https://www.facebook.com/PriorityEmergencyDentalCare,https://www.instagram.com/priorityemergencydentalcare,,,3,,9,yes,Has online booking; Has online booking,2,"Warm Digital, No Proof",Group,No reviews,,,,,,,,,,,,,,,,
