name,address,borough,city,phone,website,rating,review_count,categories,hours,google_maps_url,search_term,scraped_at,facebook_url,instagram_url,tiktok_url,google_review_count,doctor_count,staff_count,site_score,has_online_booking,comments
Midtown Dentistry,"
13176 W Lake Houston Pkwy #12, Houston, TX 77044, United States",,Houston,+1 713-804-8207,https://midtowndentistry.com/locations/summerwood,4.7,312,Dentist,Show open hours for the week,https://www.google.com/maps/place/Midtown+Dentistry/data=!4m7!3m6!1s0x8640ae56869c3c7b:0xa70a6be2becc9e48!8m2!3d29.9240708!4d-95.1879212!16s%2Fg%2F11fxfcg709!19sChIJezychlauQIYRSJ7MvuJrCqc?authuser=0&hl=en&rclk=1,dentist Midtown Houston TX,2026-02-27T11:37:46.480698,https://www.facebook.com/houstondentistry,https://www.instagram.com/midtown_dentistry,,312,1,,10,yes,Has online booking; Single practitioner; Has online booking
Swish Dental - Midtown,"
2204 Austin St suite 100, Houston, TX 77002, United States",,Houston,+1 281-721-9901,https://www.swishsmiles.com/location/houston-midtown,4.7,27,Dentist,Show open hours for the week,https://www.google.com/maps/place/Swish+Dental+-+Midtown/data=!4m7!3m6!1s0x8640bfa694536073:0xe953a0cad093359e!8m2!3d29.745864!4d-95.3688602!16s%2Fg%2F11mm88xtgx!19sChIJc2BTlKa_QIYRnjWT0MqgU-k?authuser=0&hl=en&rclk=1,dentist Midtown Houston TX,2026-02-27T11:37:50.512432,https://www.facebook.com/SwishDentalTX,https://www.instagram.com/swishdental,https://www.tiktok.com/@swishdental,27,7,,9,no,Large team (7 doctors)
midtown dental,"
2450 Louisiana St, Houston, TX 77006, United States",,Houston,+1 713-520-0555,https://www.thegalleryofsmiles.com/,4.9,,Dentist,,https://www.google.com/maps/place/midtown+dental/data=!4m7!3m6!1s0x8640bf6a47255555:0xfc41de381e2385f4!8m2!3d29.7475579!4d-95.3768201!16s%2Fg%2F11rwxg7xth!19sChIJVVUlR2q_QIYR9IUjHjjeQfw?authuser=0&hl=en&rclk=1,dentist Midtown Houston TX,2026-02-27T11:37:54.009375,,,,,,,4,no,No social media; Thin content
Midtown Dentistry,"
808 Travis St # T60, Houston, TX 77002, United States",,Houston,+1 713-497-1362,https://midtowndentistry.com/locations/downtown,4.8,367,,,https://www.google.com/maps/place/Midtown+Dentistry/data=!4m7!3m6!1s0x8640bf3a55caaf65:0xc2e6ec6a56a80795!8m2!3d29.7589416!4d-95.3651765!16s%2Fg%2F11b6xgh9hr!19sChIJZa_KVTq_QIYRlQeoVmrs5sI?authuser=0&hl=en&rclk=1,dentist Midtown Houston TX,2026-02-27T11:38:00.223216,https://www.facebook.com/houstondentistry,https://www.instagram.com/midtown_dentistry,,367,1,,10,yes,Has online booking; Single practitioner; Has online booking
Advanced Care Dentistry & Dentures (Pearland),"
3320 E Broadway St #110, Pearland, TX 77581, United States",,Houston,+1 281-997-1703,https://www.advancedcaredentistrydentures.com/,4.8,390,Dentist,Show open hours for the week,https://www.google.com/maps/place/Advanced+Care+Dentistry+%26+Dentures+%28Pearland%29/data=!4m7!3m6!1s0x8640911bbab5b7bf:0xb7120038c6dd9f10!8m2!3d29.560776!4d-95.276091!16s%2Fg%2F11b5pkn3nb!19sChIJv7e1uhuRQIYREJ_dxjgAErc?authuser=0&hl=en&rclk=1,dentist Houston Heights TX,2026-02-27T11:38:36.132728,https://www.facebook.com/acdsmiles10,,,390,2,,10,yes,Has online booking; Facebook only; Has online booking
Dentist Tree Of The Heights,"
2105 Yale St Ste 300, Houston, TX 77008, United States",,Houston,+1 281-849-8858,http://www.dentisttreeheights.com/,4.9,695,Dentist,Show open hours for the week,https://www.google.com/maps/place/Dentist+Tree+Of+The+Heights/data=!4m7!3m6!1s0x8640c7d5f68c4fb1:0x520e9f0e6fdb8afe!8m2!3d29.8051853!4d-95.3994216!16s%2Fg%2F11gph82m9l!19sChIJsU-M9tXHQIYR_orbbw6fDlI?authuser=0&hl=en&rclk=1,dentist Houston Heights TX,2026-02-27T11:38:44.359020,,,,695,34,,8,yes,Has online booking; Large team (34 doctors); No social media; No SSL; Has online booking
The Dentists at 650 Heights,"
650 Heights Blvd, Houston, TX 77007, United States",,Houston,+1 281-974-4086,https://dentistsat650heights.com/?utm_source=GMBListing&utm_medium=Organic&utm_campaign=GMBListing,4.9,438,Dentist,Show open hours for the week,https://www.google.com/maps/place/The+Dentists+at+650+Heights/data=!4m7!3m6!1s0x8640c757627de171:0x3b2e00a3715b06aa!8m2!3d29.783158!4d-95.397093!16s%2Fg%2F1hc8w2n30!19sChIJceF9YlfHQIYRqgZbcaMALjs?authuser=0&hl=en&rclk=1,dentist Houston Heights TX,2026-02-27T11:38:48.793245,https://www.facebook.com/thedentistsat650heights,https://www.instagram.com/cmsmasters,,438,,,9,no,
Heights Smile Co.,"
1533 N Shepherd Dr Ste. 230, Houston, TX 77008, United States",,Houston,+1 832-303-9390,https://www.heightssmileco.com/,4.9,243,Dentist,Show open hours for the week,https://www.google.com/maps/place/Heights+Smile+Co./data=!4m7!3m6!1s0x8640c73dca5d8067:0x9677ad4a200f5aa1!8m2!3d29.7988843!4d-95.4103956!16s%2Fg%2F11j57xd11j!19sChIJZ4Bdyj3HQIYRoVoPIEqtd5Y?authuser=0&hl=en&rclk=1,dentist Houston Heights TX,2026-02-27T11:38:51.827627,https://www.facebook.com/HeightsSmileCo,https://www.instagram.com/explore/locations/107022467545939/heights-smile-co,,243,14,,9,yes,Has online booking; Large team (14 doctors); Has online booking
Swish Dental Heights,"
1324 N Shepherd Dr Suite 200, Houston, TX 77008, United States",,Houston,+1 281-220-8321,https://www.swishsmiles.com/location/houston-heights,4.8,313,Dentist,Show open hours for the week,https://www.google.com/maps/place/Swish+Dental+Heights/data=!4m7!3m6!1s0x8640c76754eb5163:0xc6d14f602c64f401!8m2!3d29.794924!4d-95.4097042!16s%2Fg%2F11vsrwrkpt!19sChIJY1HrVGfHQIYRAfRkLGBP0cY?authuser=0&hl=en&rclk=1,dentist Houston Heights TX,2026-02-27T11:38:55.118501,https://www.facebook.com/SwishDentalTX,https://www.instagram.com/swishdental,https://www.tiktok.com/@swishdental,313,11,,9,no,Large team (11 doctors)
MINT Dentistry,"
2225 N Shepherd Dr, Houston, TX 77008, United States",,Houston,+1 713-487-4100,https://mintdentistry.com/dentist/houston/heights,4.6,1373,Doctor,Show open hours for the week,https://www.google.com/maps/place/MINT+Dentistry/data=!4m7!3m6!1s0x8640c7720e2e989b:0xfbef5d863267a66b!8m2!3d29.8065827!4d-95.4104839!16s%2Fg%2F11g9q42mr6!19sChIJm5guDnLHQIYRa6ZnMoZd7_s?authuser=0&hl=en&rclk=1,dentist Houston Heights TX,2026-02-27T11:39:00.465211,https://www.facebook.com/MintDentistry,https://www.instagram.com/mintdentistry,,1373,1,,10,yes,Has online booking; Single practitioner; Has online booking
Sunrise Dental Center,"
2707 N Shepherd Dr, Houston, TX 77008, United States",,Houston,+1 713-869-9973,https://www.sunrisedentalsmile.com/,4.9,783,Dentist,Show open hours for the week,https://www.google.com/maps/place/Sunrise+Dental+Center/data=!4m7!3m6!1s0x8640c773f7462b83:0x83d58c4f10225f3a!8m2!3d29.811252!4d-95.4105113!16s%2Fg%2F1tc_fn8x!19sChIJgytG93PHQIYROl8iEE-M1YM?authuser=0&hl=en&rclk=1,dentist Houston Heights TX,2026-02-27T11:39:04.594346,https://www.facebook.com/tr,https://www.instagram.com/sunrise_dental_center,,783,8,,9,no,Large team (8 doctors)
"Dr. Susanna Zilberman, DDS Heights Dental Smiles","
427 W 20th St #702, Houston, TX 77008, United States",,Houston,+1 713-868-2721,http://www.heightsdentalsmiles.com/,5.0,370,Dentist,Show open hours for the week,"https://www.google.com/maps/place/Dr.+Susanna+Zilberman,+DDS+Heights+Dental+Smiles/data=!4m7!3m6!1s0x8640c76f8f28136b:0xd58bb765a1baa67c!8m2!3d29.804126!4d-95.404727!16s%2Fg%2F1hc4s55qn!19sChIJaxMoj2_HQIYRfKa6oWW3i9U?authuser=0&hl=en&rclk=1",dentist Houston Heights TX,2026-02-27T11:39:09.737836,http://www.facebook.com/HeightsDentalSmiles,,,370,10,,7,no,Large team (10 doctors); Facebook only; No SSL
URBN Dental Implants & Invisalign | Heights,"
714 Yale St #2z, Houston, TX 77007, United States",,Houston,+1 281-667-4422,https://urbndental.com/texas/houston-dental-services/heights/?utm_campaign=local-listings&utm_term=heights,4.9,218,Dentist,Show open hours for the week,https://www.google.com/maps/place/URBN+Dental+Implants+%26+Invisalign+%7C+Heights/data=!4m7!3m6!1s0x8640c702efad5535:0x769211905e0d18c!8m2!3d29.7837881!4d-95.398618!16s%2Fg%2F11lccbyngs!19sChIJNVWt7wLHQIYRjNHgBRkhaQc?authuser=0&hl=en&rclk=1,dentist Houston Heights TX,2026-02-27T11:39:14.227553,https://www.facebook.com/tr,https://www.instagram.com/urbndental,https://www.tiktok.com/@urbndental,218,29,,10,yes,Has online booking; Large team (29 doctors); Has online booking
Aspire Dental - Houston,"
310 W 19th St, Houston, TX 77008, United States",,Houston,+1 713-861-6250,https://www.aspiredentalheights.com/?utm_source=generic&utm_medium=profiles&utm_campaign=local_profiles,4.3,212,Dentist,Show open hours for the week,https://www.google.com/maps/place/Aspire+Dental+-+Houston/data=!4m7!3m6!1s0x8640c76452f1b179:0xa3284ad847232c0e!8m2!3d29.80254!4d-95.401693!16s%2Fg%2F1tw_nmyv!19sChIJebHxUmTHQIYRDiwjR9hKKKM?authuser=0&hl=en&rclk=1,dentist Houston Heights TX,2026-02-27T11:39:17.949795,,,,212,9,,8,no,Large team (9 doctors); No social media
MB Dental at Heights,"
1111 Studewood St suite c, Houston, TX 77008, United States",,Houston,+1 346-502-6831,https://mbdentalatheights.com/,5.0,173,Dentist,Show open hours for the week,https://www.google.com/maps/place/MB+Dental+at+Heights/data=!4m7!3m6!1s0x8640b9872f5ebcc3:0x20267f0ac5c1d862!8m2!3d29.7914085!4d-95.3880884!16s%2Fg%2F11vk15xhgm!19sChIJw7xeL4e5QIYRYtjBxQp_JiA?authuser=0&hl=en&rclk=1,dentist Houston Heights TX,2026-02-27T11:39:21.404034,https://www.facebook.com/profile.php,https://www.instagram.com/mbdentalatheights,,173,6,,10,yes,Has online booking; Large team (6 doctors); Has online booking
Shepherd Dental,"
915 N Shepherd Dr Ste. D, Houston, TX 77008, United States",,Houston,+1 713-864-3993,https://www.shepherd-dental.com/,4.9,271,Dentist,Show open hours for the week,https://www.google.com/maps/place/Shepherd+Dental/data=!4m7!3m6!1s0x8640c741473386a7:0xf2206cebe36ecfc2!8m2!3d29.7867396!4d-95.4104618!16s%2Fg%2F1vzn5yt2!19sChIJp4YzR0HHQIYRws9u4-tsIPI?authuser=0&hl=en&rclk=1,dentist Houston Heights TX,2026-02-27T11:39:26.363328,https://www.facebook.com/profile.php,https://www.instagram.com/p/CtKlS3NpsNF/embed,,271,8,,9,no,Large team (8 doctors)
Flash Dental,"
1050 Yale St #200, Houston, TX 77008, United States",,Houston,+1 281-407-9989,http://www.flashdental.net/,5.0,576,Dentist,Show open hours for the week,https://www.google.com/maps/place/Flash+Dental/data=!4m7!3m6!1s0x8640c72359eea6f1:0x18c6b52fb106833b!8m2!3d29.7904554!4d-95.3986492!16s%2Fg%2F11fjb6jmw9!19sChIJ8abuWSPHQIYRO4MGsS-1xhg?authuser=0&hl=en&rclk=1,dentist Houston Heights TX,2026-02-27T11:39:29.217649,,https://www.instagram.com/flashdentalgroup,,576,5,,9,yes,Has online booking; No SSL; Has online booking
District Dental,"
2802 White Oak Dr #300, Houston, TX 77007, United States",,Houston,+1 832-804-6050,http://district-dental.com/,4.9,155,Dentist,Show open hours for the week,https://www.google.com/maps/place/District+Dental/data=!4m7!3m6!1s0x8640b8a8c966a4e7:0xee83e26a66e5ffcf!8m2!3d29.7819167!4d-95.3890004!16s%2Fg%2F12628p75j!19sChIJ56Rmyai4QIYRz__lZmrig-4?authuser=0&hl=en&rclk=1,dentist Houston Heights TX,2026-02-27T11:39:32.552156,https://www.facebook.com/DistrictDental,,,155,8,,8,no,Large team (8 doctors); Facebook only; No SSL
Adonia Dentistry Houston,"
1917 Studewood St, Houston, TX 77008, United States",,Houston,+1 832-742-7451,https://www.adoniadentistry.com/,4.9,123,Dentist,Show open hours for the week,https://www.google.com/maps/place/Adonia+Dentistry+Houston/data=!4m7!3m6!1s0x8640b93167239909:0xa0360e200c88edfd!8m2!3d29.8037079!4d-95.3883315!16s%2Fg%2F11t85tv8xm!19sChIJCZkjZzG5QIYR_e2IDCAONqA?authuser=0&hl=en&rclk=1,dentist Houston Heights TX,2026-02-27T11:39:37.084078,https://www.facebook.com/adoniadentistry,https://www.instagram.com/adoniadentistry,,123,5,,9,yes,Has online booking
Lovett Dental,"
2401 N Shepherd Dr Ste. 160, Houston, TX 77008, United States",,Houston,+1 832-617-5531,https://www.lovettdentistrynorthheights.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp,4.6,818,Dental clinic,Show open hours for the week,https://www.google.com/maps/place/Lovett+Dental/data=!4m7!3m6!1s0x8640c702655ff931:0xf9b9284ed010368a!8m2!3d29.8080807!4d-95.4104611!16s%2Fg%2F11m8y8xknv!19sChIJMflfZQLHQIYRijYQ0E4oufk?authuser=0&hl=en&rclk=1,dentist Houston Heights TX,2026-02-27T11:39:41.761320,https://www.facebook.com/LovettDental,https://www.instagram.com/lovettdentalbeaumont,,818,,,9,no,
Lush Dental Heights,"
5307 N Main St Ste 200, Houston, TX 77009, United States",,Houston,+1 713-487-9618,https://lushdentalheights.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp-listing,5.0,265,Dentist,Show open hours for the week,https://www.google.com/maps/place/Lush+Dental+Heights/data=!4m7!3m6!1s0x8640b9c44f5a1953:0x614f265ad595211d!8m2!3d29.8030532!4d-95.3878096!16s%2Fg%2F11s894n3sr!19sChIJUxlaT8S5QIYRHSGV1VomT2E?authuser=0&hl=en&rclk=1,dentist Houston Heights TX,2026-02-27T11:39:46.940239,,,,265,25,,9,yes,Has online booking; Large team (25 doctors); No social media; Has online booking
Houston Heights Dentistry - Dr. Pranita Kadam,"
2525 N Loop W Fwy #230, Houston, TX 77008, United States",,Houston,+1 713-861-7216,https://www.houstonheightsdentistry.com/,4.8,153,Dentist,Show open hours for the week,https://www.google.com/maps/place/Houston+Heights+Dentistry+-+Dr.+Pranita+Kadam/data=!4m7!3m6!1s0x8640c6faffeaf47b:0x5639b47817fdc84c!8m2!3d29.807526!4d-95.4423513!16s%2Fg%2F1tj4hfhg!19sChIJe_Tq__rGQIYRTMj9F3i0OVY?authuser=0&hl=en&rclk=1,dentist Houston Heights TX,2026-02-27T11:39:50.200938,https://www.facebook.com/hhdentistry,https://www.instagram.com/houstonheightsdentistry,,153,2,,10,yes,Has online booking; Has online booking
Nu Dentistry Garden Oaks,"
3201 N Shepherd Dr Suite 113, Houston, TX 77018, United States",,Houston,+1 832-662-3846,https://nudentistrygardenoaks.com/,4.9,861,Dentist,Show open hours for the week,https://www.google.com/maps/place/Nu+Dentistry+Garden+Oaks/data=!4m7!3m6!1s0x8640c706c5a04dcf:0x6b542b87e557cba!8m2!3d29.8162517!4d-95.4109115!16s%2Fg%2F11k4jv_89n!19sChIJz02gxQbHQIYRunxVfrhCtQY?authuser=0&hl=en&rclk=1,dentist Houston Heights TX,2026-02-27T11:39:54.702362,https://www.facebook.com/GHSPerio,https://www.instagram.com/nudentistrygardenoaks,,861,20,,10,yes,Has online booking; Large team (20 doctors); Has online booking
Houston Dental Oasis: Dr. Amelia Wang,"
3004 Yale St Ste 500, Houston, TX 77018, United States",,Houston,+1 713-331-3177,https://houstondentaloasis.com/?utm_campaign=gmb&utm_medium=organic&utm_source=google,5.0,414,Dentist,Show open hours for the week,https://www.google.com/maps/place/Houston+Dental+Oasis:+Dr.+Amelia+Wang/data=!4m7!3m6!1s0x8640c7e0c140a6c5:0xb9adb1c8fa695057!8m2!3d29.814621!4d-95.3987817!16s%2Fg%2F11h4dyjx0n!19sChIJxaZAweDHQIYRV1Bp-sixrbk?authuser=0&hl=en&rclk=1,dentist Houston Heights TX,2026-02-27T11:40:00.073006,https://www.facebook.com/HoustonDentalOasis,https://www.instagram.com/houstondentaloasis,https://www.tiktok.com/@houstondentaloasis,414,13,,10,yes,Has online booking; Large team (13 doctors); Has online booking
Pearl Dentistry Houston Heights,"
1919 Taylor St, Houston, TX 77007, United States",,Houston,+1 713-766-4389,https://pearlmoderndentistry.com/,4.5,452,Dentist,Show open hours for the week,https://www.google.com/maps/place/Pearl+Dentistry+Houston+Heights/data=!4m7!3m6!1s0x8640b8ad87918473:0xa60526a7e7a28352!8m2!3d29.775448!4d-95.383474!16s%2Fg%2F11byp6rc9b!19sChIJc4SRh624QIYRUoOi56cmBaY?authuser=0&hl=en&rclk=1,dentist Houston Heights TX,2026-02-27T11:40:03.721368,https://www.facebook.com/Pearl-Dentistry-1549943948605035,,,452,,,10,yes,Has online booking; Facebook only; Has online booking
"Castle Dental & Orthodontics - Greater Heights, Houston, TX","
961 N Shepherd Dr, Houston, TX 77008, United States",,Houston,+1 281-661-3529,https://www.castledental.com/dental-office/houston-dentist/31470/?utm_source=generic&utm_medium=profiles&utm_campaign=local_profiles,3.9,280,Dentist,Show open hours for the week,"https://www.google.com/maps/place/Castle+Dental+%26+Orthodontics+-+Greater+Heights,+Houston,+TX/data=!4m7!3m6!1s0x8640c74159a128c3:0x618e142af6a4728f!8m2!3d29.7887916!4d-95.4108039!16s%2Fg%2F1t_kgxvl!19sChIJwyihWUHHQIYRj3Kk9ioUjmE?authuser=0&hl=en&rclk=1",dentist Houston Heights TX,2026-02-27T11:40:07.243113,https://www.facebook.com/CastleDental,,,280,6,,10,yes,Has online booking; Large team (6 doctors); Facebook only; Has online booking
"Heights Family Dentistry (Carol L Price, DDS and Eileen Kwee, DDS)","
306 W 20th St, Houston, TX 77008, United States",,Houston,+1 713-862-6408,http://www.heightsfamilydentistry.com/,4.9,151,Dentist,Show open hours for the week,"https://www.google.com/maps/place/Heights+Family+Dentistry+%28Carol+L+Price,+DDS+and+Eileen+Kwee,+DDS%29/data=!4m7!3m6!1s0x8640c76503f69cb7:0xc7a355b6b72baf30!8m2!3d29.8036474!4d-95.4022122!16s%2Fg%2F1tdrfrg9!19sChIJt5z2A2XHQIYRMK8rt7ZVo8c?authuser=0&hl=en&rclk=1",dentist Houston Heights TX,2026-02-27T11:40:11.733750,,,,151,,,5,yes,Has online booking; No social media; No SSL; Has online booking; Thin content
The Heights Modern Dentistry,"
1911 Taylor St D, Houston, TX 77007, United States",,Houston,+1 713-868-4488,https://www.theheightsmoderndentistry.com/?sc_cid=GBP%3AO%3AGP%3A648%3AOrganic_Search%3AGeneral%3Ana&_vsrefdom=organic_gbp&y_source=1_MTEwMjkxOC03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,4.2,341,Dentist,Show open hours for the week,https://www.google.com/maps/place/The+Heights+Modern+Dentistry/data=!4m7!3m6!1s0x8640b8b288af2e5f:0xc0a7333d5afad8f8!8m2!3d29.774744!4d-95.3827!16s%2Fg%2F11h0b11cn!19sChIJXy6viLK4QIYR-Nj6Wj0zp8A?authuser=0&hl=en&rclk=1,dentist Houston Heights TX,2026-02-27T11:40:15.333719,,,,341,,,2,no,No social media; No mobile viewport; Thin content
BLVD Dentistry & Orthodontics Heights,"
107 Yale St Suite 300, Houston, TX 77007, United States",,Houston,+1 832-900-2071,https://www.blvddentistry.com/houston-heights/?utm_source=google.com&utm_medium=business+profile&utm_campaign=,4.6,713,Dentist,Show open hours for the week,https://www.google.com/maps/place/BLVD+Dentistry+%26+Orthodontics+Heights/data=!4m7!3m6!1s0x8640c0ab5072d21b:0x52d68556026757c!8m2!3d29.7726175!4d-95.3989115!16s%2Fg%2F12lv0y5wn!19sChIJG9JyUKvAQIYRfHUmYFVoLQU?authuser=0&hl=en&rclk=1,dentist Houston Heights TX,2026-02-27T11:40:20.598786,https://www.facebook.com/blvddentistry,https://www.instagram.com/blvddentistry,,713,9,,9,yes,Has online booking; Large team (9 doctors)
Memorial Heights Dental Center - Dr. Tim Hung,"
920 Studemont St #500, Houston, TX 77007, United States",,Houston,+1 713-347-1662,https://www.ddsforyou.com/?utm_source=GoogleOrganic&utm_medium=GMBwebsite&utm_campaign=GMBWebsiteLink,4.9,256,Dentist,Show open hours for the week,https://www.google.com/maps/place/Memorial+Heights+Dental+Center+-+Dr.+Tim+Hung/data=!4m7!3m6!1s0x8640bf55c9942e79:0x4a114c6d6e39ec62!8m2!3d29.7674973!4d-95.3916818!16s%2Fg%2F1tdbft9p!19sChIJeS6UyVW_QIYRYuw5bm1MEUo?authuser=0&hl=en&rclk=1,dentist Houston Heights TX,2026-02-27T11:40:25.531414,,,,256,,,0,no,Website timeout
