name,address,borough,city,phone,website,rating,review_count,categories,hours,google_maps_url,search_term,scraped_at
Midtown Manhattan Dental Arts,"
140 W 58th St STE 2, New York, NY 10019, United States",Manhattan,New York,+1 212-757-3879,https://midtownmanhattandental.com/,5.0,29,Dentist,Show open hours for the week,https://www.google.com/maps/place/Midtown+Manhattan+Dental+Arts/data=!4m7!3m6!1s0x89c258f79bed75e5:0x9b5d430f4eaecc53!8m2!3d40.765526!4d-73.978283!16s%2Fg%2F1263m2qsb!19sChIJ5XXtm_dYwokRU8yuTg9DXZs?authuser=0&hl=en&rclk=1,dentist Midtown Manhattan New York,2026-02-25T17:09:23.129496
Midtown Dental Services,"
211 E 43rd St #1304, New York, NY 10017, United States",Manhattan,New York,+1 212-697-3946,https://www.midtowndentalservices.com/,4.9,88,Dental implants periodontist,Show open hours for the week,https://www.google.com/maps/place/Midtown+Dental+Services/data=!4m7!3m6!1s0x89c259031fb98cd7:0xcb4ac3827e5116ee!8m2!3d40.7513269!4d-73.9730734!16s%2Fg%2F1tdlcmwd!19sChIJ14y5HwNZwokR7hZRfoLDSss?authuser=0&hl=en&rclk=1,dentist Midtown Manhattan New York,2026-02-25T17:09:27.445430
NYC Dental Center,"
216 E 39th St #1, New York, NY 10016, United States",Manhattan,New York,+1 646-861-3070,https://weence.com/dentists/new-york-1/nyc-dental-center/,4.4,242,Dental clinic,Show open hours for the week,https://www.google.com/maps/place/NYC+Dental+Center/data=!4m7!3m6!1s0x89c2590471dc99d1:0x9cef457c46246b66!8m2!3d40.7483698!4d-73.9752108!16s%2Fg%2F1hc0zwd2c!19sChIJ0ZnccQRZwokRZmskRnxF75w?authuser=0&hl=en&rclk=1,dentist Midtown Manhattan New York,2026-02-25T17:09:31.451942
Midtown Dental Group NoMad,"
1158 Broadway 3rd floor, New York, NY 10001, United States",Manhattan,New York,+1 212-213-4029,https://midtowndentalgroup.com/,5.0,472,Dentist,Show open hours for the week,https://www.google.com/maps/place/Midtown+Dental+Group+NoMad/data=!4m7!3m6!1s0x89c259a6744a171f:0x359369c352256e35!8m2!3d40.7445459!4d-73.98862!16s%2Fg%2F1vnrlyf6!19sChIJHxdKdKZZwokRNW4lUsNpkzU?authuser=0&hl=en&rclk=1,dentist Midtown Manhattan New York,2026-02-25T17:09:40.418824
Koppelman Dental,"
7 W 45th St 2nd floor, New York, NY 10036, United States",Manhattan,New York,+1 212-382-3782,https://www.koppelmandental.com/?utm_source=gmb&utm_medium=organic,5.0,992,Dental clinic,Show open hours for the week,https://www.google.com/maps/place/Koppelman+Dental/data=!4m7!3m6!1s0x89c258ffcaaacbd7:0xbcf067598a5f6b81!8m2!3d40.7559474!4d-73.9800186!16s%2Fg%2F1ptwtp583!19sChIJ18uqyv9YwokRgWtfilln8Lw?authuser=0&hl=en&rclk=1,dentist Midtown Manhattan New York,2026-02-25T17:09:48.916572
Modern Dental of Manhattan,"
425 Madison Ave Rm 500, New York, NY 10017, United States",Manhattan,New York,+1 212-758-1000,https://www.manhattandentists.com/,5.0,223,Dental implants provider,Show open hours for the week,https://www.google.com/maps/place/Modern+Dental+of+Manhattan/data=!4m7!3m6!1s0x89c258fc36fc3f85:0xe6e60dd5611d29f0!8m2!3d40.7569869!4d-73.975942!16s%2Fg%2F11b7q7zcyr!19sChIJhT_8NvxYwokR8CkdYdUN5uY?authuser=0&hl=en&rclk=1,dentist Midtown Manhattan New York,2026-02-25T17:09:57.014941
Madison Dental Loft,"
30 E 40th St RM 806, New York, NY 10016, United States",Manhattan,New York,+1 646-624-0987,https://nycdental.com/manhattan/dentistry,4.9,400,Dentist,Show open hours for the week,https://www.google.com/maps/place/Madison+Dental+Loft/data=!4m7!3m6!1s0x89c259a97e01c283:0xee75624abd9052ff!8m2!3d40.7510805!4d-73.9796293!16s%2Fg%2F1pv0l0ns6!19sChIJg8IBfqlZwokR_1KQvUpide4?authuser=0&hl=en&rclk=1,dentist Midtown Manhattan New York,2026-02-25T17:10:02.525630
New York General Dentistry,"
133 E 58th St Ste 409, New York, NY 10022, United States",Manhattan,New York,+1 212-838-0842,https://newyorkgeneraldentistry.com/?utm_source=GMBlisting&utm_medium=organic,4.9,363,Dental clinic,Show open hours for the week,https://www.google.com/maps/place/New+York+General+Dentistry/data=!4m7!3m6!1s0x89c258e5a66f638f:0x4f9c91e71b92d9f9!8m2!3d40.7619525!4d-73.9689326!16s%2Fg%2F1tgny3v1!19sChIJj2NvpuVYwokR-dmSG-eRnE8?authuser=0&hl=en&rclk=1,dentist Midtown Manhattan New York,2026-02-25T17:10:08.401401
Glow Dental of Midtown Manhattan: Dr. Alina Huang,"
358 5th Ave #406, New York, NY 10001, United States",Manhattan,New York,+1 212-697-8620,https://dentistinmidtownmanhattan.com/,4.9,230,Dentist,Show open hours for the week,https://www.google.com/maps/place/Glow+Dental+of+Midtown+Manhattan:+Dr.+Alina+Huang/data=!4m7!3m6!1s0x89c259f441cdaf83:0x2e60e690b3c1be0c!8m2!3d40.7487274!4d-73.9847307!16s%2Fg%2F11h_z9tw2b!19sChIJg6_NQfRZwokRDL7Bs5DmYC4?authuser=0&hl=en&rclk=1,dentist Midtown Manhattan New York,2026-02-25T17:10:12.190253
Midtown Dental Design,"
45 W 54th St, New York, NY 10019, United States",Manhattan,New York,+1 212-572-9800,https://www.midtowndentaldesign.com/,5.0,74,Dentist,Show open hours for the week,https://www.google.com/maps/place/Midtown+Dental+Design/data=!4m7!3m6!1s0x89c258e6d368fa99:0xa13c52e610ed3ca!8m2!3d40.762232!4d-73.9776846!16s%2Fg%2F1q62mddbz!19sChIJmfpo0-ZYwokRytMOYS7FEwo?authuser=0&hl=en&rclk=1,dentist Midtown Manhattan New York,2026-02-25T17:10:19.513156
My NYC Dentist - 42nd Street Dental,"
286 Madison Ave 7th floor, New York, NY 10017, United States",Manhattan,New York,+1 212-867-8862,http://www.mynyc-dentist.com/,4.8,394,Dentist,Show open hours for the week,https://www.google.com/maps/place/My+NYC+Dentist+-+42nd+Street+Dental/data=!4m7!3m6!1s0x89c259022ac6fd01:0xdf7e40039e4c8b40!8m2!3d40.751746!4d-73.980378!16s%2Fg%2F1tfn3nhg!19sChIJAf3GKgJZwokRQItMngNAft8?authuser=0&hl=en&rclk=1,dentist Midtown Manhattan New York,2026-02-25T17:10:26.495555
"Midtown Smile Dental: Dr. Jisu Lim, DDS","
36 E 36th St #1k, New York, NY 10016, United States",Manhattan,New York,+1 212-532-8666,http://midtownsmiledental.com/,5.0,91,Dentist,Show open hours for the week,"https://www.google.com/maps/place/Midtown+Smile+Dental:+Dr.+Jisu+Lim,+DDS/data=!4m7!3m6!1s0x89c259073e19f763:0x45716d697f1fae9!8m2!3d40.7486646!4d-73.9813713!16s%2Fg%2F1v4pty1f!19sChIJY_cZPgdZwokR6frxl9YWVwQ?authuser=0&hl=en&rclk=1",dentist Midtown Manhattan New York,2026-02-25T17:10:29.839982
Smile Design Manhattan,"
575 Madison Ave 23rd Floor, New York, NY 10022, United States",Manhattan,New York,+1 646-278-4579,https://www.smiledesignmanhattan.com/?utm_source=gmb_auth,4.9,548,Dentist,Show open hours for the week,https://www.google.com/maps/place/Smile+Design+Manhattan/data=!4m7!3m6!1s0x89c258ef7888b847:0x5952a09fe294b236!8m2!3d40.761781!4d-73.9723693!16s%2Fg%2F1vj603d9!19sChIJR7iIeO9YwokRNrKU4p-gUlk?authuser=0&hl=en&rclk=1,dentist Midtown Manhattan New York,2026-02-25T17:10:34.028484
Smile Arts of NY,"
30 E 40th St #105, New York, NY 10016, United States",Manhattan,New York,+1 212-537-6923,http://www.smileartsofny.com/,4.8,767,Cosmetic dentist,Show open hours for the week,https://www.google.com/maps/place/Smile+Arts+of+NY/data=!4m7!3m6!1s0x89c25901194361cb:0xc32902ead13db639!8m2!3d40.751178!4d-73.979628!16s%2Fg%2F1tzgkkcw!19sChIJy2FDGQFZwokRObY90eoCKcM?authuser=0&hl=en&rclk=1,dentist Midtown Manhattan New York,2026-02-25T17:10:38.902528
"Manhattan Dental Spa: John Vargas DDS, Allison Gordon DMD, & Mitchell Charnas DMD","
200 Madison Ave Suite 2201, New York, NY 10016, United States",Manhattan,New York,+1 212-683-2530,https://manhattandentalspa.com/?utm_source=gmb&utm_medium=organic,4.9,720,Dentist,Show open hours for the week,"https://www.google.com/maps/place/Manhattan+Dental+Spa:+John+Vargas+DDS,+Allison+Gordon+DMD,+%26+Mitchell+Charnas+DMD/data=!4m7!3m6!1s0x89c259075e100475:0x3aecd4bff4eb461a!8m2!3d40.7486953!4d-73.9825363!16s%2Fg%2F1tfg3_rk!19sChIJdQQQXgdZwokRGkbr9L_U7Do?authuser=0&hl=en&rclk=1",dentist Midtown Manhattan New York,2026-02-25T17:10:42.106391
Beautiful Smiles Dental Associates,"
2 W 46th St Suite 1003 10th Floor, New York, NY 10036, United States",Manhattan,New York,+1 516-715-5650,https://www.beautifulsmilesdentalassociates.com/,4.9,800,Dentist,Show open hours for the week,https://www.google.com/maps/place/Beautiful+Smiles+Dental+Associates/data=!4m7!3m6!1s0x89c258ff140cd4c7:0x2727e9596b57b36d!8m2!3d40.756096!4d-73.9798129!16s%2Fg%2F1tk640q2!19sChIJx9QMFP9YwokRbbNXa1npJyc?authuser=0&hl=en&rclk=1,dentist Midtown Manhattan New York,2026-02-25T17:10:47.059029
Manhattan Dental Studio,"
358 5th Ave #1005, New York, NY 10001, United States",Manhattan,New York,+1 212-685-2476,http://www.manhattandentalstudio.com/,4.9,141,Dentist,Show open hours for the week,https://www.google.com/maps/place/Manhattan+Dental+Studio/data=!4m7!3m6!1s0x89c259a9b92fccdd:0xe6dc2f0e8c3e03f7!8m2!3d40.7488002!4d-73.9847357!16s%2Fg%2F113k2lr01!19sChIJ3cwvualZwokR9wM-jA4v3OY?authuser=0&hl=en&rclk=1,dentist Midtown Manhattan New York,2026-02-25T17:10:56.472330
Midtown Dental PC,"
57 W 57th St #700, New York, NY 10019, United States",Manhattan,New York,+1 212-355-4097,http://www.midtowndentalnyc.com/,5.0,27,Dental clinic,Show open hours for the week,https://www.google.com/maps/place/Midtown+Dental+PC/data=!4m7!3m6!1s0x89c258f0a92c4b69:0x99da54afb92a5f86!8m2!3d40.7643642!4d-73.9768149!16s%2Fg%2F1hhh2hbxn!19sChIJaUssqfBYwokRhl8qua9U2pk?authuser=0&hl=en&rclk=1,dentist Midtown Manhattan New York,2026-02-25T17:11:02.839982
Sachar Dental NYC,"
20 E 46th St Rm 1301, New York, NY 10017, United States",Manhattan,New York,+1 212-752-1163,https://www.sachardental.com/,5.0,398,Dentist,Show open hours for the week,https://www.google.com/maps/place/Sachar+Dental+NYC/data=!4m7!3m6!1s0x89c258fe0d6858d5:0xbd198d1dd2cf3733!8m2!3d40.7554749!4d-73.9779336!16s%2Fg%2F11cjj5csv9!19sChIJ1VhoDf5YwokRMzfP0h2NGb0?authuser=0&hl=en&rclk=1,dentist Midtown Manhattan New York,2026-02-25T17:11:06.575753
My NYC Dentist - 34th Street Dental,"
225 W 35th St # 2, New York, NY 10001, United States",Manhattan,New York,+1 212-564-8164,http://www.mynyc-dentist.com/,4.8,487,Dentist,Show open hours for the week,https://www.google.com/maps/place/My+NYC+Dentist+-+34th+Street+Dental/data=!4m7!3m6!1s0x89c259ac39e91d7b:0x1d9f26a6aa6358a8!8m2!3d40.7522776!4d-73.991056!16s%2Fg%2F1tnqhxly!19sChIJex3pOaxZwokRqFhjqqYmnx0?authuser=0&hl=en&rclk=1,dentist Midtown Manhattan New York,2026-02-25T17:11:16.716514
Midtown East Dental,"
150 E 56th St # 1D, New York, NY 10022, United States",Manhattan,New York,+1 212-755-5656,http://www.midtowneastdental.com/,5.0,168,Dentist,Show open hours for the week,https://www.google.com/maps/place/Midtown+East+Dental/data=!4m7!3m6!1s0x89c258e4f057086b:0x2baa556fc19a46fe!8m2!3d40.7597303!4d-73.9689806!16s%2Fg%2F1tl_mmpj!19sChIJawhX8ORYwokR_kaawW9Vqis?authuser=0&hl=en&rclk=1,dentist Midtown Manhattan New York,2026-02-25T17:11:22.055908
"Helma Philips, DDS: Midtown Manhattan Dentistry","
2 W 46th St Ste 1003, New York, NY 10036, United States",Manhattan,New York,+1 212-644-0004,https://www.midtowndentistnewyork.com/?utm_source=local&utm_medium=organic&utm_campaign=gbp_home,4.9,140,Dentist,Show open hours for the week,"https://www.google.com/maps/place/Helma+Philips,+DDS:+Midtown+Manhattan+Dentistry/data=!4m7!3m6!1s0x89c258fb9d086d91:0xf872cb49d6111ed7!8m2!3d40.7561415!4d-73.979517!16s%2Fg%2F1tfdzs27!19sChIJkW0InftYwokR1x4R1knLcvg?authuser=0&hl=en&rclk=1",dentist Midtown Manhattan New York,2026-02-25T17:11:30.528373
Dental Serenity of Manhattan,"
515 Madison Ave #1212, New York, NY 10022, United States",Manhattan,New York,+1 212-858-9266,https://www.dentalserenity.us/,4.8,299,Dental clinic,Show open hours for the week,https://www.google.com/maps/place/Dental+Serenity+of+Manhattan/data=!4m7!3m6!1s0x89c258fb8bc3e887:0x919692beb8f435b4!8m2!3d40.7597372!4d-73.9738141!16s%2Fg%2F1pzqmmqm3!19sChIJh-jDi_tYwokRtDX0uL6SlpE?authuser=0&hl=en&rclk=1,dentist Midtown Manhattan New York,2026-02-25T17:11:34.481057
172 NYC Dental,"
172 Madison Ave Comm 1, New York, NY 10016, United States",Manhattan,New York,+1 646-921-5541,https://172nycdental.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb,4.9,233,Dentist,Show open hours for the week,https://www.google.com/maps/place/172+NYC+Dental/data=!4m7!3m6!1s0x89c2597cbeae8151:0xc61c992c47b5a118!8m2!3d40.7474307!4d-73.9835995!16s%2Fg%2F11p12xt2bk!19sChIJUYGuvnxZwokRGKG1RyyZHMY?authuser=0&hl=en&rclk=1,dentist Midtown Manhattan New York,2026-02-25T17:11:38.851532
Park 56 Dental,"
120 E 56th St, New York, NY 10022, United States",Manhattan,New York,+1 212-826-2322,https://www.park56dental.com/contact-us?y_source=1_MjA3NzQzNzUtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,4.9,921,Dentist,Show open hours for the week,https://www.google.com/maps/place/Park+56+Dental/data=!4m7!3m6!1s0x89c258e4d0cd0a3f:0x9ddffe9834ff47de!8m2!3d40.7604576!4d-73.9706451!16s%2Fg%2F1tfmp99g!19sChIJPwrN0ORYwokR3kf_NJj-350?authuser=0&hl=en&rclk=1,dentist Midtown Manhattan New York,2026-02-25T17:11:49.690881
Dentist on Madison,"
274 Madison Ave Rm 202, New York, NY 10016, United States",Manhattan,New York,+1 212-227-4600,http://dentistonmadison.com/?utm_campaign=gmb,4.9,365,Dentist,Show open hours for the week,https://www.google.com/maps/place/Dentist+on+Madison/data=!4m7!3m6!1s0x89c259866c955ab3:0xe58909b230838aa5!8m2!3d40.7514023!4d-73.980757!16s%2Fg%2F11kk49nv_f!19sChIJs1qVbIZZwokRpYqDMLIJieU?authuser=0&hl=en&rclk=1,dentist Midtown Manhattan New York,2026-02-25T17:12:01.254634
Smile Cafe Dental Spa,"
Smile Cafe Dental Spa, 45 Park Ave Professional Unit 1, New York, NY 10016, United States",Manhattan,New York,+1 212-779-7743,http://www.smilecafeny.com/,4.8,1026,Cosmetic dentist,Show open hours for the week,https://www.google.com/maps/place/Smile+Cafe+Dental+Spa/data=!4m7!3m6!1s0x89c25906df402cbd:0xe3dfdda7048d573b!8m2!3d40.7486592!4d-73.9797464!16s%2Fg%2F1tf29lr7!19sChIJvSxA3wZZwokRO1eNBKfd3-M?authuser=0&hl=en&rclk=1,dentist Midtown Manhattan New York,2026-02-25T17:12:06.044704
54th Street Dental,"
45 W 54th St # 1c, New York, NY 10019, United States",Manhattan,New York,+1 212-333-3200,https://54thstreetdental.com/,4.8,207,Dental clinic,Show open hours for the week,https://www.google.com/maps/place/54th+Street+Dental/data=!4m7!3m6!1s0x89c258f985a599b9:0xfb307fb038385f84!8m2!3d40.7622234!4d-73.9776561!16s%2Fg%2F1tdb55xr!19sChIJuZmlhflYwokRhF84OLB_MPs?authuser=0&hl=en&rclk=1,dentist Midtown Manhattan New York,2026-02-25T17:12:14.531157
Herald Square Dental & The Denture Center,"
224 W 35th St 16th Floor, New York, NY 10001, United States",Manhattan,New York,+1 212-689-0024,https://www.heraldsquarecosmeticdental.com/,4.8,398,Dentist,Show open hours for the week,https://www.google.com/maps/place/Herald+Square+Dental+%26+The+Denture+Center/data=!4m7!3m6!1s0x89c259ac30613c9b:0x8256b738864992ac!8m2!3d40.7519467!4d-73.9911001!16s%2Fg%2F1tdn5037!19sChIJmzxhMKxZwokRrJJJhji3VoI?authuser=0&hl=en&rclk=1,dentist Midtown Manhattan New York,2026-02-25T17:12:23.530466
Madison Dental Group,"
515 Madison Ave #2600, New York, NY 10022, United States",Manhattan,New York,+1 212-935-9300,http://www.madisondental.com/,4.8,445,Dental clinic,Show open hours for the week,https://www.google.com/maps/place/Madison+Dental+Group/data=!4m7!3m6!1s0x89c258fb7691603f:0x819980b16ed0d0ac!8m2!3d40.7597893!4d-73.9737557!16s%2Fg%2F1td48x08!19sChIJP2CRdvtYwokRrNDQbrGAmYE?authuser=0&hl=en&rclk=1,dentist Midtown Manhattan New York,2026-02-25T17:12:26.555314
Midtown Dental Group Upper East Side,"
30 E 60th St suite 2402, New York, NY 10022, United States",Manhattan,New York,+1 212-588-1809,https://midtowndentalgroup.com/locations/uppereastside/,4.9,477,Dentist,Show open hours for the week,https://www.google.com/maps/place/Midtown+Dental+Group+Upper+East+Side/data=!4m7!3m6!1s0x89c258fc162f2ab1:0x221f98c3fbd3ebd!8m2!3d40.763742!4d-73.9701959!16s%2Fg%2F1v8gcz4f!19sChIJsSovFvxYwokRvT69P4z5IQI?authuser=0&hl=en&rclk=1,dentist Midtown Manhattan New York,2026-02-25T17:12:29.481222
212 Dental Care,"
286 Madison Ave 10th Floor, New York, NY 10017, United States",Manhattan,New York,+1 888-506-9583,http://212dentalcare.com/,4.7,2970,Dental clinic,Show open hours for the week,https://www.google.com/maps/place/212+Dental+Care/data=!4m7!3m6!1s0x89c25900fd6f726b:0x47a3ff50cc79f99d!8m2!3d40.751693!4d-73.9803106!16s%2Fg%2F1263dk1vn!19sChIJa3Jv_QBZwokRnfl5zFD_o0c?authuser=0&hl=en&rclk=1,dentist Midtown Manhattan New York,2026-02-25T17:12:34.698598
Tend Dental Grand Central,"
230 Park Avenue Suite ST-1C, New York, NY 10169, United States",Manhattan,New York,+1 646-535-0969,https://www.hellotend.com/site/studios/grand-central?utm_source=gmb&utm_medium=organic&utm_campaign=grandcentral+2003&utm_content=web,4.4,772,Dentist,Show open hours for the week,https://www.google.com/maps/place/Tend+Dental+Grand+Central/data=!4m7!3m6!1s0x89c259ef43ce591b:0x1d814c50c4f28023!8m2!3d40.7546667!4d-73.9761572!16s%2Fg%2F11jdkhsrvl!19sChIJG1nOQ-9ZwokRI4DyxFBMgR0?authuser=0&hl=en&rclk=1,dentist Midtown Manhattan New York,2026-02-25T17:12:47.019389
Millennium Dental of NY PC,"
36 W 44th St STE 304, New York, NY 10036, United States",Manhattan,New York,+1 212-730-6900,https://nymillenniumdental.com/,4.9,222,Dentist,Show open hours for the week,https://www.google.com/maps/place/Millennium+Dental+of+NY+PC/data=!4m7!3m6!1s0x89c258ffccda02ad:0x5198f04993eb4469!8m2!3d40.7553833!4d-73.9818793!16s%2Fg%2F1tffvvr5!19sChIJrQLazP9YwokRaUTrk0nwmFE?authuser=0&hl=en&rclk=1,dentist Midtown Manhattan New York,2026-02-25T17:12:55.476367
Madison Dental PC - Okon Jonathan E DMD,"
425 Madison Ave RM1800, New York, NY 10017, United States",Manhattan,New York,+1 212-380-1165,https://www.madisondentalpc.com/,4.9,324,Dentist,Show open hours for the week,https://www.google.com/maps/place/Madison+Dental+PC+-+Okon+Jonathan+E+DMD/data=!4m7!3m6!1s0x89c258fc36fc3f85:0x1cedbb1e8473b80e!8m2!3d40.757002!4d-73.975867!16s%2Fg%2F1txnqcdq!19sChIJhT_8NvxYwokRDrhzhB677Rw?authuser=0&hl=en&rclk=1,dentist Midtown Manhattan New York,2026-02-25T17:13:04.329807
Wellspring Dental - Midtown,"
136 E 57th St # 1604, New York, NY 10022, United States",Manhattan,New York,+1 212-752-8181,https://wellspring.dental/midtown,4.9,274,Dentist,Show open hours for the week,https://www.google.com/maps/place/Wellspring+Dental+-+Midtown/data=!4m7!3m6!1s0x89c259e2c7bbd937:0x611ceff18d3783b9!8m2!3d40.7606076!4d-73.968964!16s%2Fg%2F11hnt515np!19sChIJN9m7x-JZwokRuYM3jfHvHGE?authuser=0&hl=en&rclk=1,dentist Midtown Manhattan New York,2026-02-25T17:13:10.361808
CitiDentalGroup - A Dental365 Company,"
240 Madison Ave 12th floor, New York, NY 10016, United States",Manhattan,New York,+1 212-685-2890,https://www.godental365.com/location/ny/new-york-county/citidentalgroup-a-dental365-company?utm_source=gbp&utm_medium=organic,4.8,372,Dentist,Show open hours for the week,https://www.google.com/maps/place/CitiDentalGroup+-+A+Dental365+Company/data=!4m7!3m6!1s0x89c259a83c8d80e1:0x929bb0174b9f4749!8m2!3d40.7500335!4d-73.9816254!16s%2Fg%2F1tfx5tpf!19sChIJ4YCNPKhZwokRSUefSxewm5I?authuser=0&hl=en&rclk=1,dentist Midtown Manhattan New York,2026-02-25T17:13:14.497327
Manhattan Dental Associates,"
2 W 45th St, New York, NY 10036, United States",Manhattan,New York,+1 212-944-2836,https://manhattan-dental.com/,4.9,131,Dentist,Show open hours for the week,https://www.google.com/maps/place/Manhattan+Dental+Associates/data=!4m7!3m6!1s0x89c258ffccda02ad:0xdb6d2d4b70be4482!8m2!3d40.7555104!4d-73.9802022!16s%2Fg%2F1vd72747!19sChIJrQLazP9YwokRgkS-cEstbds?authuser=0&hl=en&rclk=1,dentist Midtown Manhattan New York,2026-02-25T17:13:19.585816
