clinic_name,reviewer_name,stars,review_text,review_date,google_maps_url
"מרפאת שיניים ד""ר פוקס",זר אוקרט,5,"פוקס הוא פשוט הרופא מספר אחד! אחרי טיפולים כושלים בטורקיה וסבל מכאבים שלא נגמרו – הוא היחיד שהצליח להציל אותי 🙏. מעבר למקצועיות המדהימה שלו, הוא גם הוגן, אמין ובאמת רואה את המטופל לפני הכול. תודה ענקית על זה שהחזיר לי את החיוך – גם בפנים וגם בלב 🦷✨� …",לפני 5 חודשים,https://www.google.com/maps/place/%D7%9E%D7%A8%D7%A4%D7%90%D7%AA+%D7%A9%D7%99%D7%A0%D7%99%D7%99%D7%9D+%D7%93%22%D7%A8+%D7%A4%D7%95%D7%A7%D7%A1%E2%80%AD/data=!4m7!3m6!1s0x1502b357ed1de489:0xf09362d5f0f7811c!8m2!3d32.0752719!4d34.7835313!16s%2Fg%2F1vh7jx3w!19sChIJieQd7VezAhURHIH38NVik_A?authuser=0&hl=iw&rclk=1
"מרפאת שיניים ד""ר פוקס",kpop d,5,"שום טיפול שיניים בשום מקום לא השתווה עד כה לטיפול המקצועי אצל דר מיקי פוקס, לאחר שקיבלתי המלצה חמה מהמשפחה המשכתי כמה טיפולים נוספים שהייתי זקוקה להם, היחס האישי לכל לקוח והמקצועיות המפליאה עשו את שלהם, המון תודה.",לפני שבוע,https://www.google.com/maps/place/%D7%9E%D7%A8%D7%A4%D7%90%D7%AA+%D7%A9%D7%99%D7%A0%D7%99%D7%99%D7%9D+%D7%93%22%D7%A8+%D7%A4%D7%95%D7%A7%D7%A1%E2%80%AD/data=!4m7!3m6!1s0x1502b357ed1de489:0xf09362d5f0f7811c!8m2!3d32.0752719!4d34.7835313!16s%2Fg%2F1vh7jx3w!19sChIJieQd7VezAhURHIH38NVik_A?authuser=0&hl=iw&rclk=1
"ד""ר רון יהב - מרפאת אמייזינג סמייל, מרפאת שיניים בתל אביב",sharon franco,5,"הגעתי למרפאת השיניים של ד”ר רון יהב אחרי לא מעט חששות, ויצאתי עם חוויה מתקנת לגמרי. ד”ר יהב מקצועי מאוד, יסודי, מסביר כל שלב בסבלנות ובגובה העיניים, ונותן תחושה ברורה שאתה בידיים בטוחות לאורך כל הטיפול. השיננית מאיה פשוט נפלאה. עדינה, קשובה, מקצועית, עם גישה אנושית שמרגיעה גם את מי שפחות אוהב טיפולי שיניים. הטיפול בוצע ברמה הגבוהה ביותר ועם תשומת לב אמיתית לנוחות ולתחושה שלי כמטופל. המרפאה עצמה נעימה, נקייה, מסודרת ומשרה אווירה רגועה. הצוות אדיב, הזמנים מכובדים, והתחושה הכללית היא של מקום שמקפיד על סטנדרטים גבוהים ולא מתפשר על איכות. ממליץ בחום לכל מי שמחפש מרפאת שיניים מקצועית עם יחס אישי ואכפתי באמת שרון",לפני חודשיים,"https://www.google.com/maps/place/%D7%93%22%D7%A8+%D7%A8%D7%95%D7%9F+%D7%99%D7%94%D7%91+-+%D7%9E%D7%A8%D7%A4%D7%90%D7%AA+%D7%90%D7%9E%D7%99%D7%99%D7%96%D7%99%D7%A0%D7%92+%D7%A1%D7%9E%D7%99%D7%99%D7%9C,+%D7%9E%D7%A8%D7%A4%D7%90%D7%AA+%D7%A9%D7%99%D7%A0%D7%99%D7%99%D7%9D+%D7%91%D7%AA%D7%9C+%D7%90%D7%91%D7%99%D7%91%E2%80%AD/data=!4m7!3m6!1s0x151d4bec01adf96b:0xbea22cb7baba887e!8m2!3d32.0876716!4d34.7919328!16s%2Fg%2F11b86rlvz4!19sChIJa_mtAexLHRURfoi6urcsor4?authuser=0&hl=iw&rclk=1"
"ד""ר רון יהב - מרפאת אמייזינג סמייל, מרפאת שיניים בתל אביב",Nicole Wolf,5,"אני ובני משפחתי מטופלים אצל ד״ר רוני יהב מזה כעשרים שנה - מדובר ברופא שיניים מהמעלה הראשונה מבחינה מקצועית ובינאישית, והוא קשוב ואיכפתי ביותר לכל סוגיה שעלתה במהלך השנים. כך גם אורית, שמחזיקה ביד רמה את המשרד, מגוייסת תמיד לעזור ולקדם את …",לפני חודשיים,"https://www.google.com/maps/place/%D7%93%22%D7%A8+%D7%A8%D7%95%D7%9F+%D7%99%D7%94%D7%91+-+%D7%9E%D7%A8%D7%A4%D7%90%D7%AA+%D7%90%D7%9E%D7%99%D7%99%D7%96%D7%99%D7%A0%D7%92+%D7%A1%D7%9E%D7%99%D7%99%D7%9C,+%D7%9E%D7%A8%D7%A4%D7%90%D7%AA+%D7%A9%D7%99%D7%A0%D7%99%D7%99%D7%9D+%D7%91%D7%AA%D7%9C+%D7%90%D7%91%D7%99%D7%91%E2%80%AD/data=!4m7!3m6!1s0x151d4bec01adf96b:0xbea22cb7baba887e!8m2!3d32.0876716!4d34.7919328!16s%2Fg%2F11b86rlvz4!19sChIJa_mtAexLHRURfoi6urcsor4?authuser=0&hl=iw&rclk=1"
"ד""ר רון יהב - מרפאת אמייזינג סמייל, מרפאת שיניים בתל אביב",irit dulman,5,"דפנה היא השיננית שלי ומטפלת בי שנים. היא עדינה, רגישה ולא מכאיבה בכלל. מאז שהתחלתי לנקות את השיניים באופן קבוע הרבה מהבעיות שהיו לי השתפרו מאד. אני לא מחליפה אותה ולא נותנת לאף אחד אחר לטפל בי",לפני שבועיים,"https://www.google.com/maps/place/%D7%93%22%D7%A8+%D7%A8%D7%95%D7%9F+%D7%99%D7%94%D7%91+-+%D7%9E%D7%A8%D7%A4%D7%90%D7%AA+%D7%90%D7%9E%D7%99%D7%99%D7%96%D7%99%D7%A0%D7%92+%D7%A1%D7%9E%D7%99%D7%99%D7%9C,+%D7%9E%D7%A8%D7%A4%D7%90%D7%AA+%D7%A9%D7%99%D7%A0%D7%99%D7%99%D7%9D+%D7%91%D7%AA%D7%9C+%D7%90%D7%91%D7%99%D7%91%E2%80%AD/data=!4m7!3m6!1s0x151d4bec01adf96b:0xbea22cb7baba887e!8m2!3d32.0876716!4d34.7919328!16s%2Fg%2F11b86rlvz4!19sChIJa_mtAexLHRURfoi6urcsor4?authuser=0&hl=iw&rclk=1"
"דנטל פוטו-מכון לצילומי שיניים - סניף תל אביב - ויצמן 14, קומה 19",חן פלאח,5,"שירות פשוט מעולה! הצוות אדיב, מקצועי וסבלני מאוד. המקום נקי ומסודר, והכל תקתק בלי זמני המתנה ארוכים. מומלץ בחום!",לפני חודש,"https://www.google.com/maps/place/%D7%93%D7%A0%D7%98%D7%9C+%D7%A4%D7%95%D7%98%D7%95-%D7%9E%D7%9B%D7%95%D7%9F+%D7%9C%D7%A6%D7%99%D7%9C%D7%95%D7%9E%D7%99+%D7%A9%D7%99%D7%A0%D7%99%D7%99%D7%9D+-+%D7%A1%D7%A0%D7%99%D7%A3+%D7%AA%D7%9C+%D7%90%D7%91%D7%99%D7%91+-+%D7%95%D7%99%D7%A6%D7%9E%D7%9F+14,+%D7%A7%D7%95%D7%9E%D7%94+19%E2%80%AD/data=!4m7!3m6!1s0x151d4b9122aa4be9:0xe7f0757a95196b33!8m2!3d32.081678!4d34.789278!16s%2Fg%2F11gffpvwps!19sChIJ6UuqIpFLHRURM2sZlXp18Oc?authuser=0&hl=iw&rclk=1"
"דנטל פוטו-מכון לצילומי שיניים - סניף תל אביב - ויצמן 14, קומה 19",אתי בר,5,"ברצוני להביע תודה והערכה גדולה לצוות מכון צילום השיניים על חוויית שירות יוצאת מן הכלל. הבן שלי הגיע לצילומים לפני הורדת פלטה ומהרגע הראשון הורגש יחס אישי, אדיב וסבלני, לצד מקצועיות ברמה הגבוהה ביותר. הצוות מפגין ידע, דיוק ותשומת לב לכל פרט, ומשרה תחושת ביטחון ורוגע לאורך כל התהליך. הזמינות, היעילות וההתחשבות בצרכי המטופל, יחד עם תוצאות מדויקות ואיכותיות, מעידים על סטנדרטים גבוהים ועל מחויבות אמיתית למצוינות.",לפני חודש,"https://www.google.com/maps/place/%D7%93%D7%A0%D7%98%D7%9C+%D7%A4%D7%95%D7%98%D7%95-%D7%9E%D7%9B%D7%95%D7%9F+%D7%9C%D7%A6%D7%99%D7%9C%D7%95%D7%9E%D7%99+%D7%A9%D7%99%D7%A0%D7%99%D7%99%D7%9D+-+%D7%A1%D7%A0%D7%99%D7%A3+%D7%AA%D7%9C+%D7%90%D7%91%D7%99%D7%91+-+%D7%95%D7%99%D7%A6%D7%9E%D7%9F+14,+%D7%A7%D7%95%D7%9E%D7%94+19%E2%80%AD/data=!4m7!3m6!1s0x151d4b9122aa4be9:0xe7f0757a95196b33!8m2!3d32.081678!4d34.789278!16s%2Fg%2F11gffpvwps!19sChIJ6UuqIpFLHRURM2sZlXp18Oc?authuser=0&hl=iw&rclk=1"
"דנטל פוטו-מכון לצילומי שיניים - סניף תל אביב - ויצמן 14, קומה 19",Oz,0,האיש של הסריקות איחר בשעתיים לתור שלי והבחורה שעובדת איתו שמצלמת לא סיפורית בכלל. …,לפני חודש,"https://www.google.com/maps/place/%D7%93%D7%A0%D7%98%D7%9C+%D7%A4%D7%95%D7%98%D7%95-%D7%9E%D7%9B%D7%95%D7%9F+%D7%9C%D7%A6%D7%99%D7%9C%D7%95%D7%9E%D7%99+%D7%A9%D7%99%D7%A0%D7%99%D7%99%D7%9D+-+%D7%A1%D7%A0%D7%99%D7%A3+%D7%AA%D7%9C+%D7%90%D7%91%D7%99%D7%91+-+%D7%95%D7%99%D7%A6%D7%9E%D7%9F+14,+%D7%A7%D7%95%D7%9E%D7%94+19%E2%80%AD/data=!4m7!3m6!1s0x151d4b9122aa4be9:0xe7f0757a95196b33!8m2!3d32.081678!4d34.789278!16s%2Fg%2F11gffpvwps!19sChIJ6UuqIpFLHRURM2sZlXp18Oc?authuser=0&hl=iw&rclk=1"
מכבידנט תל אביב - ויצמן,Yuval Ezrati,0,"בכל הפעמים שהייתי פה התור זז או מתבטל כי השיננית מאחרת זה פשוט ביזיון, זלזול בזמן וגם כמובן שמעל כל זה אין תורים כמעט בכלל אז אתה חייב להסכים לכל השטויות האלה",לפני חודשיים,https://www.google.com/maps/place/%D7%9E%D7%9B%D7%91%D7%99%D7%93%D7%A0%D7%98+%D7%AA%D7%9C+%D7%90%D7%91%D7%99%D7%91+-+%D7%95%D7%99%D7%A6%D7%9E%D7%9F%E2%80%AD/data=!4m7!3m6!1s0x151d4bb959e88efb:0x546215dc41fd34b7!8m2!3d32.0814278!4d34.7898728!16s%2Fg%2F11rq2nz4w1!19sChIJ-47oWblLHRURtzT9QdwVYlQ?authuser=0&hl=iw&rclk=1
מכבידנט תל אביב - ויצמן,pnina Tolshinsky,0,"הגעתי לטיפול SOS לשן אחרי כאבים שלא איפשרו לי לאכול כמה ימים.. בודקת אותי רופאה ששואלת ""איפה כואב""- עושה צילום ""לא רואה כלום"".. תעשי צילום פנורמי (עוד 180 שח לנזק מלבד 80 ביקור על כלום) ותקבעי תור מסודר לרופא (בעוד 9 ימים) שולחת אותי הביתה בלי לתת לי שום כדורים חוץ מהמלצה לאקמול..  הלו- את זה גם אני יכולתי לעשות בעצמי. אולי יש שח דלקת🙄 מה אני אמורה לעשות עד אז??",לפני 3 חודשים,https://www.google.com/maps/place/%D7%9E%D7%9B%D7%91%D7%99%D7%93%D7%A0%D7%98+%D7%AA%D7%9C+%D7%90%D7%91%D7%99%D7%91+-+%D7%95%D7%99%D7%A6%D7%9E%D7%9F%E2%80%AD/data=!4m7!3m6!1s0x151d4bb959e88efb:0x546215dc41fd34b7!8m2!3d32.0814278!4d34.7898728!16s%2Fg%2F11rq2nz4w1!19sChIJ-47oWblLHRURtzT9QdwVYlQ?authuser=0&hl=iw&rclk=1
מכבידנט תל אביב - ויצמן,אנטון צ'פלין,0,"קובעים תור לשעה מסויימת, אף פעם לא קרובים לעמוד בזמנים. איחור קבוע של מעל חצי שעה לכל תור בכל מרפאת מכבידנט.",לפני 11 חודשים,https://www.google.com/maps/place/%D7%9E%D7%9B%D7%91%D7%99%D7%93%D7%A0%D7%98+%D7%AA%D7%9C+%D7%90%D7%91%D7%99%D7%91+-+%D7%95%D7%99%D7%A6%D7%9E%D7%9F%E2%80%AD/data=!4m7!3m6!1s0x151d4bb959e88efb:0x546215dc41fd34b7!8m2!3d32.0814278!4d34.7898728!16s%2Fg%2F11rq2nz4w1!19sChIJ-47oWblLHRURtzT9QdwVYlQ?authuser=0&hl=iw&rclk=1
"ד""ר אריה מימון",בת חן הברי גרין,5,"ד״ר מימון הנהדר קיבל אותי ביום שישי בערב לאחר שסבלתי מכאבים קשים בשיניים. מיד בכניסתי למרפאה הוא חייך אלי והרגיע אותי, ביצע צילום והמליץ על טיפול תרופתי והמשך טיפול שיניים במרפאת האם. ממליצה בחום על טיפול בשגרה ובחירום.",לפני 4 חודשים,https://www.google.com/maps/place/%D7%93%22%D7%A8+%D7%90%D7%A8%D7%99%D7%94+%D7%9E%D7%99%D7%9E%D7%95%D7%9F%E2%80%AD/data=!4m7!3m6!1s0x151d4b7c866961f3:0xc5af764d9b692206!8m2!3d32.0796301!4d34.7815548!16s%2Fg%2F11f5t3pkcf!19sChIJ82FphnxLHRURBiJpm012r8U?authuser=0&hl=iw&rclk=1
"ד""ר אריה מימון",Noy Stll,5,"ממליצה בחום על ד״ר מימון. אני מטופלת אצלו כבר כמה שנים, ותמיד מקבלת יחס אדיב, אנושי והוגן.",לפני שבועיים,https://www.google.com/maps/place/%D7%93%22%D7%A8+%D7%90%D7%A8%D7%99%D7%94+%D7%9E%D7%99%D7%9E%D7%95%D7%9F%E2%80%AD/data=!4m7!3m6!1s0x151d4b7c866961f3:0xc5af764d9b692206!8m2!3d32.0796301!4d34.7815548!16s%2Fg%2F11f5t3pkcf!19sChIJ82FphnxLHRURBiJpm012r8U?authuser=0&hl=iw&rclk=1
"ד""ר אריה מימון",ע טרי,5,"⸻  ממליצה בחום על ד”ר אריה מימון – רופא מקצועי, בעל ידע נרחב, סבלני ואנושי. הגעתי אליו לאחר שעברתי אצל מספר רופאי שיניים, והוא זה שאיתר במדויק את הבעיות בשיניים שלי. עברתי טיפול מקיף שכלל שתלים וכתרים בכל הפה, ואני מרוצה מאוד מהתוצאה הסופית. המרפאה נעימה, נקייה ומתקדמת. ממליצה מאוד",לפני חודש,https://www.google.com/maps/place/%D7%93%22%D7%A8+%D7%90%D7%A8%D7%99%D7%94+%D7%9E%D7%99%D7%9E%D7%95%D7%9F%E2%80%AD/data=!4m7!3m6!1s0x151d4b7c866961f3:0xc5af764d9b692206!8m2!3d32.0796301!4d34.7815548!16s%2Fg%2F11f5t3pkcf!19sChIJ82FphnxLHRURBiJpm012r8U?authuser=0&hl=iw&rclk=1
קראוס קליניק - Krauss Clinic - ד״ר עומרי קראוס,Ofir Darel,5,"עברתי טיפול ב־Krauss Clinic ואני יכול להגיד בלב שלם: מקצועיות, הוגנות ואכפתיות אמיתית. מהרגע הראשון קיבלתי יחס רציני, מסודר ולא מזלזל – הסבירו לי הכול בסבלנות, היו זמינים לשאלות, ונתנו תחושה שאני בידיים טובות ולא “עוד מקרה”. טיפול מדויק, אנושי, בלי משחקים ובלי לחץ מיותר. ממליץ מאוד.",לפני חודשיים,https://www.google.com/maps/place/%D7%A7%D7%A8%D7%90%D7%95%D7%A1+%D7%A7%D7%9C%D7%99%D7%A0%D7%99%D7%A7+-+Krauss+Clinic+-+%D7%93%D7%B4%D7%A8+%D7%A2%D7%95%D7%9E%D7%A8%D7%99+%D7%A7%D7%A8%D7%90%D7%95%D7%A1%E2%80%AD/data=!4m7!3m6!1s0x151d4ba9dcc429df:0x6a6ccbe1c34bd300!8m2!3d32.0779182!4d34.790903!16s%2Fg%2F11pq2ck6c3!19sChIJ3ynE3KlLHRURANNLw-HLbGo?authuser=0&hl=iw&rclk=1
קראוס קליניק - Krauss Clinic - ד״ר עומרי קראוס,Ofek Cohen,5,"הגעתי לקראוס קליניק כדי לעשות יישור שיניים, וכשהתחלתי הייתי חייל ושירתתי בבסיסים רחוקים עם מעט גמישות. הצוות תמיד בא לקראתי ועזר לי להתאים תורים לימים ולשעות שנוחות לי! בכללי היחס האישי מצויין - מקצועיות שיא ואכפתיות שיא. המענה של מנהלת המרפאה תמיד מהיר וחם :)",לפני חודשיים,https://www.google.com/maps/place/%D7%A7%D7%A8%D7%90%D7%95%D7%A1+%D7%A7%D7%9C%D7%99%D7%A0%D7%99%D7%A7+-+Krauss+Clinic+-+%D7%93%D7%B4%D7%A8+%D7%A2%D7%95%D7%9E%D7%A8%D7%99+%D7%A7%D7%A8%D7%90%D7%95%D7%A1%E2%80%AD/data=!4m7!3m6!1s0x151d4ba9dcc429df:0x6a6ccbe1c34bd300!8m2!3d32.0779182!4d34.790903!16s%2Fg%2F11pq2ck6c3!19sChIJ3ynE3KlLHRURANNLw-HLbGo?authuser=0&hl=iw&rclk=1
קראוס קליניק - Krauss Clinic - ד״ר עומרי קראוס,אוריה שמעיה,5,"מסיימת בימים אלו טיפול אינויזיליין במרפאת קראוס קליניק. צוות מדהים! מקצועי, נעים ורגיש, גילו לא פעם גמישות למול אילוצים אישיים שהיו לי ויצרו לי את החיוך המושלם שחלמתי עליו שנים! ממליצה בחום, תודה על הכל🙏🏼❤️ …",לפני 3 חודשים,https://www.google.com/maps/place/%D7%A7%D7%A8%D7%90%D7%95%D7%A1+%D7%A7%D7%9C%D7%99%D7%A0%D7%99%D7%A7+-+Krauss+Clinic+-+%D7%93%D7%B4%D7%A8+%D7%A2%D7%95%D7%9E%D7%A8%D7%99+%D7%A7%D7%A8%D7%90%D7%95%D7%A1%E2%80%AD/data=!4m7!3m6!1s0x151d4ba9dcc429df:0x6a6ccbe1c34bd300!8m2!3d32.0779182!4d34.790903!16s%2Fg%2F11pq2ck6c3!19sChIJ3ynE3KlLHRURANNLw-HLbGo?authuser=0&hl=iw&rclk=1
