name,address,city,phone,website,rating,review_count,categories,hours,google_maps_url,search_term,scraped_at,facebook_url,instagram_url,tiktok_url,easy_url,easy_score,easy_review_count,google_review_count,facebook_review_count,madreviews_count,doctor_count,staff_count,site_score,comments
קראוס קליניק - Krauss Clinic - ד״ר עומרי קראוס,"
שדרות שאול המלך 41, תל אביב-יפו, 6492808",תל אביב,050-498-0802,http://www.kraussclinic.co.il/,4.7,59,רופא שיניים,שעות פעילות,https://www.google.com/maps/place/%D7%A7%D7%A8%D7%90%D7%95%D7%A1+%D7%A7%D7%9C%D7%99%D7%A0%D7%99%D7%A7+-+Krauss+Clinic+-+%D7%93%D7%B4%D7%A8+%D7%A2%D7%95%D7%9E%D7%A8%D7%99+%D7%A7%D7%A8%D7%90%D7%95%D7%A1%E2%80%AD/data=!4m7!3m6!1s0x151d4ba9dcc429df:0x6a6ccbe1c34bd300!8m2!3d32.0779182!4d34.790903!16s%2Fg%2F11pq2ck6c3!19sChIJ3ynE3KlLHRURANNLw-HLbGo?authuser=0&hl=iw&rclk=1,מרפאת שיניים תל אביב יפו,2026-02-22T18:50:53.279422,https://www.facebook.com/kraussclinic,https://www.instagram.com/kraussclinic/,,https://easy.co.il/page/27356450,8.6,59,9,,,6,6,8,Has online booking; Large team (6 doctors)
דר ענת גל,"
רח׳, צייטלין 1, קומה 5, תל אביב-יפו",תל אביב,03-605-9246,http://www.dranatgal.com/,4.7,50,מרפאת שיניים,שעות פעילות,https://www.google.com/maps/place/%D7%93%D7%A8+%D7%A2%D7%A0%D7%AA+%D7%92%D7%9C%E2%80%AD/data=!4m7!3m6!1s0x151d4b8d4b6f6935:0xb55d0724089c1851!8m2!3d32.0795853!4d34.7814627!16s%2Fg%2F11c7sz7n4t!19sChIJNWlvS41LHRURURicCCQHXbU?authuser=0&hl=iw&rclk=1,מרפאת שיניים תל אביב יפו,2026-02-22T18:50:57.715728,,,,,,,,,,5,1,5,Has online booking; Large team (5 doctors); No social media
"ד""ר מ.מוחסן רופא שיניים","
צייטלין 1, תל אביב-יפו, 6495601",תל אביב,03-695-7878,https://www.mohsen.co.il/,4.2,5,רופא שיניים,שעות פעילות,https://www.google.com/maps/place/%D7%93%22%D7%A8+%D7%9E.%D7%9E%D7%95%D7%97%D7%A1%D7%9F+%D7%A8%D7%95%D7%A4%D7%90+%D7%A9%D7%99%D7%A0%D7%99%D7%99%D7%9D%E2%80%AD/data=!4m7!3m6!1s0x151d4b9f079cdff5:0xaee6f49e52b7c997!8m2!3d32.0796301!4d34.7815548!16s%2Fg%2F11rq7zr6__!19sChIJ9d-cB59LHRURl8m3Up705q4?authuser=0&hl=iw&rclk=1,מרפאת שיניים תל אביב יפו,2026-02-22T18:51:02.907740,,,,,,,,,,,,0,Website error
"Dr Hazak | ד""ר שירה חזק | מרפאת שיניים פרטית בתל אביב","
רחוב זאב ז'בוטינסקי 140, תל אביב-יפו, 6299109",תל אביב,054-814-2232,https://drhazak.com/,5.0,354,מרפאת שיניים,שעות פעילות,https://www.google.com/maps/place/Dr+Hazak+%7C+%D7%93%22%D7%A8+%D7%A9%D7%99%D7%A8%D7%94+%D7%97%D7%96%D7%A7+%7C+%D7%9E%D7%A8%D7%A4%D7%90%D7%AA+%D7%A9%D7%99%D7%A0%D7%99%D7%99%D7%9D+%D7%A4%D7%A8%D7%98%D7%99%D7%AA+%D7%91%D7%AA%D7%9C+%D7%90%D7%91%D7%99%D7%91%E2%80%AD/data=!4m7!3m6!1s0x151d4b4f3af6d9db:0x129d8df85cf18ae!8m2!3d32.0858583!4d34.7927493!16s%2Fg%2F11k1j06tbg!19sChIJ29n2Ok9LHRURrhjPhd_YKQE?authuser=0&hl=iw&rclk=1,מרפאת שיניים תל אביב יפו,2026-02-22T18:51:07.753937,https://www.facebook.com/109667543783764,,,https://easy.co.il/page/10061347,9.6,439,11,11,,2,7,9,Has online booking; No social media
"ד""ר אדהם ראבי - רופא שיניים","
מרפאת שיניים ד""ר פוקס תא ר'ח, דובנוב 2, תל אביב-יפו",תל אביב,050-269-5316,,5.0,2,מרפאת שיניים,שעות פעילות,https://www.google.com/maps/place/%D7%93%22%D7%A8+%D7%90%D7%93%D7%94%D7%9D+%D7%A8%D7%90%D7%91%D7%99+-+%D7%A8%D7%95%D7%A4%D7%90+%D7%A9%D7%99%D7%A0%D7%99%D7%99%D7%9D%E2%80%AD/data=!4m7!3m6!1s0x151d4b8c14b037fb:0xce8d0aa06f72c158!8m2!3d32.0752719!4d34.7835313!16s%2Fg%2F11mrxp7460!19sChIJ-zewFIxLHRURWMFyb6AKjc4?authuser=0&hl=iw&rclk=1,מרפאת שיניים תל אביב יפו,2026-02-22T18:51:10.986766,,,,https://easy.co.il/page/27436442,,2,18,,,,,0,No website
"ד""ר מיכאל מאייר","
זנגביל 3, תל אביב-יפו",תל אביב,03-575-7242,http://www.dr-meyer.co.il/,4.8,40,מרפאת שיניים,שעות פעילות,https://www.google.com/maps/place/%D7%93%22%D7%A8+%D7%9E%D7%99%D7%9B%D7%90%D7%9C+%D7%9E%D7%90%D7%99%D7%99%D7%A8%E2%80%AD/data=!4m7!3m6!1s0x151d4b8b0357e1bd:0x7a9dc0d27f9f347a!8m2!3d32.090423!4d34.777186!16s%2Fg%2F11c3w108tg!19sChIJveFXA4tLHRURejSff9LAnXo?authuser=0&hl=iw&rclk=1,מרפאת שיניים תל אביב יפו,2026-02-22T18:51:15.765480,,,,https://easy.co.il/page/26211389,8.6,39,1,,,,,6,No social media
"ד""ר אידלמן יצחק - רופא שיניים","
בית רופאים, שפרינצק 3, תל אביב-יפו",תל אביב,03-631-0749,http://eidelmandr.com/,4.8,63,רופא שיניים,שעות פעילות,https://www.google.com/maps/place/%D7%93%22%D7%A8+%D7%90%D7%99%D7%93%D7%9C%D7%9E%D7%9F+%D7%99%D7%A6%D7%97%D7%A7+-+%D7%A8%D7%95%D7%A4%D7%90+%D7%A9%D7%99%D7%A0%D7%99%D7%99%D7%9D%E2%80%AD/data=!4m7!3m6!1s0x151d4b0c5f068f95:0x2785089d5bd13aad!8m2!3d32.0709712!4d34.7827552!16s%2Fg%2F1td2qb5t!19sChIJlY8GXwxLHRURrTrRW50IhSc?authuser=0&hl=iw&rclk=1,מרפאת שיניים תל אביב יפו,2026-02-22T18:51:18.779867,https://www.facebook.com/1087033461311196,https://www.instagram.com/eidelmanclinictelaviv/,,https://easy.co.il/page/2768911,9.3,212,20,18,,10,12,9,Has online booking; Large team (10 doctors)
איאן מרכז לרפואת שיניים AYAN Dental Center,"
יגאל אלון 157, כניסה א, תל אביב-יפו, 6744365",תל אביב,052-305-7440,,4.8,59,מרפאת שיניים,שעות פעילות,https://www.google.com/maps/place/%D7%90%D7%99%D7%90%D7%9F+%D7%9E%D7%A8%D7%9B%D7%96+%D7%9C%D7%A8%D7%A4%D7%95%D7%90%D7%AA+%D7%A9%D7%99%D7%A0%D7%99%D7%99%D7%9D+AYAN+Dental+Center%E2%80%AD/data=!4m7!3m6!1s0x151d4b63aa5c9f43:0xd988bd6eda6b0321!8m2!3d32.0786917!4d34.7972495!16s%2Fg%2F11mx3r8l19!19sChIJQ59cqmNLHRURIQNr2m69iNk?authuser=0&hl=iw&rclk=1,מרפאת שיניים תל אביב יפו,2026-02-22T18:51:22.886006,https://www.facebook.com/2329831123749697,,,https://easy.co.il/page/10057808,9.2,60,08,11,,,,0,No website
"רפואת שיניים בארבע ידיים - פרופ' ארוין וייס | ד""ר מיכל שטיינקלר-דקל - מומחים לשיקום הפה","
ויצמן‬ 14, קומה 19, תל אביב-יפו, 6423914",תל אביב,03-691-6161,https://4hands.dental/,4.6,7,רופא שיניים,שעות פעילות,https://www.google.com/maps/place/%D7%A8%D7%A4%D7%95%D7%90%D7%AA+%D7%A9%D7%99%D7%A0%D7%99%D7%99%D7%9D+%D7%91%D7%90%D7%A8%D7%91%D7%A2+%D7%99%D7%93%D7%99%D7%99%D7%9D+-+%D7%A4%D7%A8%D7%95%D7%A4%27+%D7%90%D7%A8%D7%95%D7%99%D7%9F+%D7%95%D7%99%D7%99%D7%A1+%7C+%D7%93%22%D7%A8+%D7%9E%D7%99%D7%9B%D7%9C+%D7%A9%D7%98%D7%99%D7%99%D7%A0%D7%A7%D7%9C%D7%A8-%D7%93%D7%A7%D7%9C+-+%D7%9E%D7%95%D7%9E%D7%97%D7%99%D7%9D+%D7%9C%D7%A9%D7%99%D7%A7%D7%95%D7%9D+%D7%94%D7%A4%D7%94%E2%80%AD/data=!4m7!3m6!1s0x151d4bf9f218be11:0x2505cb29a352b9f4!8m2!3d32.0814278!4d34.7898728!16s%2Fg%2F11fpgwwh6c!19sChIJEb4Y8vlLHRUR9LlSoynLBSU?authuser=0&hl=iw&rclk=1,מרפאת שיניים תל אביב יפו,2026-02-22T18:51:27.941998,https://www.facebook.com/4handsdental/,,,https://easy.co.il/page/20303856,9.1,115,4,,,16,,10,Has online booking; Large team (16 doctors); Facebook only
"ד""ר רונן אופק - מרפאת שיניים TLV Smile","
הארבעה 28 מגדלי הארבעה, מגדל דרומי, קומה 2, תל אביב-יפו",תל אביב,077-804-4909,https://www.tlvsmile.co.il/,4.9,27,רופא,שעות פעילות,https://www.google.com/maps/place/%D7%93%22%D7%A8+%D7%A8%D7%95%D7%A0%D7%9F+%D7%90%D7%95%D7%A4%D7%A7+-+%D7%9E%D7%A8%D7%A4%D7%90%D7%AA+%D7%A9%D7%99%D7%A0%D7%99%D7%99%D7%9D+TLV+Smile%E2%80%AD/data=!4m7!3m6!1s0x151d4bf3727ed913:0x9d46b431839103c0!8m2!3d32.0701122!4d34.786004!16s%2Fg%2F1thsztnj!19sChIJE9l-cvNLHRURwAORgzG0Rp0?authuser=0&hl=iw&rclk=1,מרפאת שיניים תל אביב יפו,2026-02-22T18:51:31.440563,https://www.facebook.com/101560268306622,https://www.instagram.com/telavivsmile/,,https://easy.co.il/page/3581987,8.6,2,,9,,14,1,9,Has online booking; Large team (14 doctors)
נאו סמייל תל אביב - כל הסיבות לחייך,"
דרך מנחם בגין 150, תל אביב-יפו, 6492105",תל אביב,03-974-9585,https://neosmile.co.il/,4.4,101,מרפאת שיניים,שעות פעילות,https://www.google.com/maps/place/%D7%A0%D7%90%D7%95+%D7%A1%D7%9E%D7%99%D7%99%D7%9C+%D7%AA%D7%9C+%D7%90%D7%91%D7%99%D7%91+-+%D7%9B%D7%9C+%D7%94%D7%A1%D7%99%D7%91%D7%95%D7%AA+%D7%9C%D7%97%D7%99%D7%99%D7%9A%E2%80%AD/data=!4m7!3m6!1s0x151d4bf579d8cfa1:0xa16fe08b7e5d4571!8m2!3d32.0790551!4d34.7949005!16s%2Fg%2F11pcntjnr7!19sChIJoc_YefVLHRURcUVdfovgb6E?authuser=0&hl=iw&rclk=1,מרפאת שיניים תל אביב יפו,2026-02-22T18:51:34.882645,https://www.facebook.com/neosmile.co.il/,https://www.instagram.com/neosmile.israel/,https://www.tiktok.com/@neosmile_israel,https://easy.co.il/page/27366553,8.6,99,11,,,,4,10,Has online booking
"ד""ר דרור בן שלמה - רופא שיניים בתל אביב","
מלכי ישראל 17, תל אביב-יפו",תל אביב,03-716-6733,https://drbenshlomo.co.il/,4.9,61,רופא שיניים,שעות פעילות,https://www.google.com/maps/place/%D7%93%22%D7%A8+%D7%93%D7%A8%D7%95%D7%A8+%D7%91%D7%9F+%D7%A9%D7%9C%D7%9E%D7%94+-+%D7%A8%D7%95%D7%A4%D7%90+%D7%A9%D7%99%D7%A0%D7%99%D7%99%D7%9D+%D7%91%D7%AA%D7%9C+%D7%90%D7%91%D7%99%D7%91%E2%80%AD/data=!4m7!3m6!1s0x151d4b786d214f27:0x44d5580e5ad1084d!8m2!3d32.0810567!4d34.7796497!16s%2Fg%2F12qfnsdjr!19sChIJJ08hbXhLHRURTQjRWg5Y1UQ?authuser=0&hl=iw&rclk=1,מרפאת שיניים תל אביב יפו,2026-02-22T18:51:38.971481,https://www.facebook.com/446951662040953,,,https://easy.co.il/page/4970966,9.4,140,23,03,,44,5,8,Has online booking; Large team (44 doctors); Facebook only
מרפאת שיניים איזי סמייל,"
מגדל אקרו, יצחק שדה 8, קומה 18, תל אביב-יפו",תל אביב,03-609-0969,https://easysmile.zapweb.co.il/,4.9,74,רופא שיניים,שעות פעילות,https://www.google.com/maps/place/%D7%9E%D7%A8%D7%A4%D7%90%D7%AA+%D7%A9%D7%99%D7%A0%D7%99%D7%99%D7%9D+%D7%90%D7%99%D7%96%D7%99+%D7%A1%D7%9E%D7%99%D7%99%D7%9C%E2%80%AD/data=!4m7!3m6!1s0x151d4b99fd36aded:0xef7d47503f4a8eda!8m2!3d32.0652016!4d34.7855912!16s%2Fg%2F11gzq4m6f!19sChIJ7a02_ZlLHRUR2o5KP1BHfe8?authuser=0&hl=iw&rclk=1,מרפאת שיניים תל אביב יפו,2026-02-22T18:58:32.512796,https://www.facebook.com/135895909832567,,,https://easy.co.il/page/20017739,7.7,74,14,03,,2,,5,Facebook only
מגדל המאה - כללית סמייל - תל אביב יפו,"
שלמה אבן גבירול 124, תל אביב-יפו",תל אביב,03-523-5676,https://www.clalitsmile.co.il//clinic/%D7%9E%D7%A8%D7%A4%D7%90%D7%AA-%D7%9B%D7%9C%D7%9C%D7%99%D7%AA-%D7%A1%D7%9E%D7%99%D7%99%D7%9C-%D7%9E%D7%92%D7%93%D7%9C-%D7%94%D7%9E%D7%90%D7%94/,2.0,99,מרפאת שיניים,שעות פעילות,https://www.google.com/maps/place/%D7%9E%D7%92%D7%93%D7%9C+%D7%94%D7%9E%D7%90%D7%94+-+%D7%9B%D7%9C%D7%9C%D7%99%D7%AA+%D7%A1%D7%9E%D7%99%D7%99%D7%9C+-+%D7%AA%D7%9C+%D7%90%D7%91%D7%99%D7%91+%D7%99%D7%A4%D7%95%E2%80%AD/data=!4m7!3m6!1s0x151d4b8955887637:0x3e2ca501dd35391a!8m2!3d32.0869557!4d34.7823923!16s%2Fg%2F11b6g99_d6!19sChIJN3aIVYlLHRURGjk13QGlLD4?authuser=0&hl=iw&rclk=1,מרפאת שיניים תל אביב יפו,2026-02-22T18:58:43.484463,https://www.facebook.com/256106150692,,,https://easy.co.il/page/26368218,6.2,10,,,,18,13,7,Has online booking; Large team (18 doctors); Facebook only
אור השן תל אביב מגדל קניון ויצמן - רשת מכוני צילומי שיניים,"
ויצמן 14 קניון ויצמן, קומה 17, תל אביב-יפו, 6423914",תל אביב,073-398-0207,https://or-hashen.co.il/,3.8,5,צילום שיניים,שעות פעילות,https://www.google.com/maps/place/%D7%90%D7%95%D7%A8+%D7%94%D7%A9%D7%9F+%D7%AA%D7%9C+%D7%90%D7%91%D7%99%D7%91+%D7%9E%D7%92%D7%93%D7%9C+%D7%A7%D7%A0%D7%99%D7%95%D7%9F+%D7%95%D7%99%D7%A6%D7%9E%D7%9F+-+%D7%A8%D7%A9%D7%AA+%D7%9E%D7%9B%D7%95%D7%A0%D7%99+%D7%A6%D7%99%D7%9C%D7%95%D7%9E%D7%99+%D7%A9%D7%99%D7%A0%D7%99%D7%99%D7%9D%E2%80%AD/data=!4m7!3m6!1s0x151d4b839b91448d:0x97b474bcc0eb98e2!8m2!3d32.0814278!4d34.7898728!16s%2Fg%2F11gg991dsv!19sChIJjUSRm4NLHRUR4pjrwLx0tJc?authuser=0&hl=iw&rclk=1,מרפאת שיניים תל אביב יפו,2026-02-22T18:58:47.585968,,,,,,,,,,,,9,Has online booking; No social media
ד״ר ערן צנציפר - מומחה לשיקום הפה,"
IL 6412161, בלוך 15, תל אביב-יפו",תל אביב,050-545-4606,http://zenziper.com/,4.9,250,שיקום הפה,שעות פעילות,https://www.google.com/maps/place/%D7%93%D7%B4%D7%A8+%D7%A2%D7%A8%D7%9F+%D7%A6%D7%A0%D7%A6%D7%99%D7%A4%D7%A8+-+%D7%9E%D7%95%D7%9E%D7%97%D7%94+%D7%9C%D7%A9%D7%99%D7%A7%D7%95%D7%9D+%D7%94%D7%A4%D7%94%E2%80%AD/data=!4m7!3m6!1s0x151d4b8fa3361ee9:0x3dc00faa887ea2fb!8m2!3d32.0821313!4d34.7829731!16s%2Fg%2F11c3ky64f6!19sChIJ6R42o49LHRUR-6J-iKoPwD0?authuser=0&hl=iw&rclk=1,מרפאת שיניים תל אביב יפו,2026-02-22T18:58:52.046945,https://www.facebook.com/1805155686424677,https://www.instagram.com/drzenziper,,https://easy.co.il/page/20105058,9.6,884,18,050,,,2,8,Has online booking
"רופא שיניים תל אביב | ד""ר גפאלי חאלד","
דאנטה 2, תל אביב-יפו, 6809302",תל אביב,077-217-7771,http://www.dantedental.co.il/,4.9,283,מרפאת שיניים,שעות פעילות,https://www.google.com/maps/place/%D7%A8%D7%95%D7%A4%D7%90+%D7%A9%D7%99%D7%A0%D7%99%D7%99%D7%9D+%D7%AA%D7%9C+%D7%90%D7%91%D7%99%D7%91+%7C+%D7%93%22%D7%A8+%D7%92%D7%A4%D7%90%D7%9C%D7%99+%D7%97%D7%90%D7%9C%D7%93%E2%80%AD/data=!4m7!3m6!1s0x151d4cb750dd2be9:0x7e8d279caa97ee29!8m2!3d32.0483567!4d34.7569472!16s%2Fg%2F11clsxhcz8!19sChIJ6SvdULdMHRURKe6XqpwnjX4?authuser=0&hl=iw&rclk=1,מרפאת שיניים תל אביב יפו,2026-02-22T18:58:55.993190,https://www.facebook.com/165309870180737,https://www.instagram.com/smile_place_jaffaly,,https://easy.co.il/page/2768910,9.7,388,14,27,,6,2,8,Has online booking; Large team (6 doctors)
ד''ר ניסים לוי,"
ארלוזורוב 114, תל אביב-יפו, 6209710",תל אביב,03-529-9023,,3.5,16,מרפאת שיניים,שעות פעילות,https://www.google.com/maps/place/%D7%93%27%27%D7%A8+%D7%A0%D7%99%D7%A1%D7%99%D7%9D+%D7%9C%D7%95%D7%99%E2%80%AD/data=!4m7!3m6!1s0x151d4b8e704c43cd:0xadd31eda6bf84d4!8m2!3d32.0846484!4d34.7831847!16s%2Fg%2F1tk40pk1!19sChIJzUNMcI5LHRUR1IS_pu0x3Qo?authuser=0&hl=iw&rclk=1,מרפאת שיניים תל אביב יפו,2026-02-22T18:58:58.936529,,,,https://easy.co.il/page/3553122,8.0,34,7,,,,,0,No website
