segment,segment_name,name,address,city,state,phone,website,rating,review_count,categories,hours,google_maps_url,neighborhood,has_website,search_term,vertical,scraped_at,place_id
4a,No Website + Some,BISMARCK AUTO REPAIR,"230 N 69th Ave, Phoenix, AZ 85043",Phoenix,Arizona,(480) 849-3982,,5,5,Auto repair shop,Monday: 8 AM to 6 PM | Tuesday: 8 AM to 6 PM | Wednesday: 8 AM to 6 PM | Thursday: 8 AM to 6 PM | Friday: 8 AM to 6 PM | Saturday: 8 AM to 4 PM | Sunday: Closed,https://www.google.com/maps/search/?api=1&query=BISMARCK%20AUTO%20REPAIR&query_place_id=ChIJuwRWUb8VK4cRw1bp1Y8KsOc,Estrella Village,no,auto repair shop,auto_repair,2026-03-11T16:22:19.718Z,ChIJuwRWUb8VK4cRw1bp1Y8KsOc
4a,No Website + Some,MMC auto repair,"3946 W Buckeye Rd, Phoenix, AZ 85009",Phoenix,Arizona,,,5,5,Auto repair shop,Monday: 8:30 AM to 6 PM | Tuesday: 8:30 AM to 6 PM | Wednesday: 8:30 AM to 6 PM | Thursday: 8:30 AM to 6 PM | Friday: 8:30 AM to 6 PM | Saturday: Closed | Sunday: Closed,https://www.google.com/maps/search/?api=1&query=MMC%20auto%20repair&query_place_id=ChIJ6yksPdoVK4cR2XC4UXI0A0g,Homedale,no,auto repair shop,auto_repair,2026-03-11T16:22:22.595Z,ChIJ6yksPdoVK4cR2XC4UXI0A0g
4a,No Website + Some,Saucedo's auto repair,"1312 E Broadway Rd, Phoenix, AZ 85040",Phoenix,Arizona,(602) 486-8499,,5,7,Car repair and maintenance service,Monday: 8:30 AM to 6 PM | Tuesday: 8:30 AM to 6 PM | Wednesday: 8:30 AM to 6 PM | Thursday: 8:30 AM to 6 PM | Friday: 8:30 AM to 6 PM | Saturday: Closed | Sunday: Closed,https://www.google.com/maps/search/?api=1&query=Saucedo's%20auto%20repair&query_place_id=ChIJ5UVEg9QRK4cR_0GprRkjyOo,Center Grove,no,auto repair shop,auto_repair,2026-03-11T16:22:35.939Z,ChIJ5UVEg9QRK4cR_0GprRkjyOo
4a,No Website + Some,Diaz Auto Repair,"1407 W Magnolia St, Phoenix, AZ 85007",Phoenix,Arizona,(602) 257-8751,,5,5,Auto repair shop,Monday: 9 AM to 5 PM | Tuesday: 9 AM to 5 PM | Wednesday: 9 AM to 5 PM | Thursday: 9 AM to 5 PM | Friday: 9 AM to 5 PM | Saturday: Closed | Sunday: Closed,https://www.google.com/maps/search/?api=1&query=Diaz%20Auto%20Repair&query_place_id=ChIJxyrdpJ4RK4cRLxyiZlELtIE,Shuttleworth,no,auto repair shop,auto_repair,2026-03-11T16:22:35.939Z,ChIJxyrdpJ4RK4cRLxyiZlELtIE
4a,No Website + Some,El Flaco Auto Repair LLC,"234 E Broadway Rd, Phoenix, AZ 85040",Phoenix,Arizona,(623) 234-0890,,5,5,"Auto repair shop, Auto body shop",Monday: 9 AM to 6 PM | Tuesday: 9 AM to 6 PM | Wednesday: 9 AM to 6 PM | Thursday: 9 AM to 6 PM | Friday: 9 AM to 6 PM | Saturday: Closed | Sunday: Closed,https://www.google.com/maps/search/?api=1&query=El%20Flaco%20Auto%20Repair%20LLC&query_place_id=ChIJLxGN28sRK4cRE-0jDAEHgdU,South Mountain Village,no,auto repair shop,auto_repair,2026-03-11T16:22:35.940Z,ChIJLxGN28sRK4cRE-0jDAEHgdU
4a,No Website + Some,Fast & Affordable Auto Repair,"907 N 7th St, Phoenix, AZ 85006",Phoenix,Arizona,,,5,5,Auto repair shop,,https://www.google.com/maps/search/?api=1&query=Fast%20%26%20Affordable%20Auto%20Repair&query_place_id=ChIJi4zUzhASK4cRnJ6CIsG8OUg,Garfield,no,auto repair shop,auto_repair,2026-03-11T16:22:37.349Z,ChIJi4zUzhASK4cRnJ6CIsG8OUg
4a,No Website + Some,Psycho auto repair,"3801 W Buchanan St, Phoenix, AZ 85009",Phoenix,Arizona,(602) 814-9208,,5,9,Auto repair shop,Monday: 8 AM to 5 PM | Tuesday: 8 AM to 5 PM | Wednesday: 8 AM to 5 PM | Thursday: 8 AM to 5 PM | Friday: 8 AM to 5 PM | Saturday: 9 AM to 3 PM | Sunday: Closed,https://www.google.com/maps/search/?api=1&query=Psycho%20auto%20repair&query_place_id=ChIJCaoIj54TK4cRYGNXgJaf4jM,Estrella Village,no,auto repair shop,auto_repair,2026-03-11T16:22:41.559Z,ChIJCaoIj54TK4cRYGNXgJaf4jM
4a,No Website + Some,No Hassle Auto Repair,"4335 N 7th St, Phoenix, AZ 85014",Phoenix,Arizona,(480) 453-6825,,5,5,Auto repair shop,Monday: 8 AM to 6 PM | Tuesday: 8 AM to 6 PM | Wednesday: 8 AM to 6 PM | Thursday: 8 AM to 6 PM | Friday: 8 AM to 4 PM | Saturday: Closed | Sunday: 10 AM to 6 PM,https://www.google.com/maps/search/?api=1&query=No%20Hassle%20Auto%20Repair&query_place_id=ChIJZTBSHN0TK4cRFpRnK123uC4,Encanto Village,no,auto repair shop,auto_repair,2026-03-11T16:22:46.391Z,ChIJZTBSHN0TK4cRFpRnK123uC4
4a,No Website + Some,Levi's Automotive Repair,"4128 W Redfield Rd, Phoenix, AZ 85053",Phoenix,Arizona,(602) 799-9315,,5,4,Auto repair shop,Monday: 8 AM to 8 PM | Tuesday: 8 AM to 8 PM | Wednesday: 8 AM to 8 PM | Thursday: 8 AM to 8 PM | Friday: 8 AM to 8 PM | Saturday: 8 AM to 8 PM | Sunday: Closed,https://www.google.com/maps/search/?api=1&query=Levi's%20Automotive%20Repair&query_place_id=ChIJB8iC7YBpK4cRf0nm_fZXJRk,North Mountain Village,no,auto repair shop,auto_repair,2026-03-11T16:22:47.471Z,ChIJB8iC7YBpK4cRf0nm_fZXJRk
4a,No Website + Some,Legends auto mechanic,"3517 W Willow Ave, Phoenix, AZ 85029",Phoenix,Arizona,(480) 524-5769,,5,4,Auto repair shop,Monday: 7 AM to 6 PM | Tuesday: 7 AM to 6 PM | Wednesday: 7 AM to 6 PM | Thursday: 7 AM to 6 PM | Friday: 7 AM to 6 PM | Saturday: 7 AM to 6 PM | Sunday: 7 AM to 6 PM,https://www.google.com/maps/search/?api=1&query=Legends%20auto%20mechanic&query_place_id=ChIJf0iEvmtvK4cRU8qzNJJ5vvo,North Mountain Village,no,auto repair shop,auto_repair,2026-03-11T16:22:47.472Z,ChIJf0iEvmtvK4cRU8qzNJJ5vvo
4a,No Website + Some,Guarantee Auto,"1530 W Hatcher Rd, Phoenix, AZ 85021",Phoenix,Arizona,(602) 315-8951,,5,5,"Auto repair shop, Transmission shop",Monday: 9 AM to 6 PM | Tuesday: 9 AM to 6 PM | Wednesday: 9 AM to 6 PM | Thursday: 9 AM to 6 PM | Friday: 9 AM to 6 PM | Saturday: 9 AM to 6 PM | Sunday: Closed,https://www.google.com/maps/search/?api=1&query=Guarantee%20Auto&query_place_id=ChIJ4zvpB6ttK4cRXvJy2YoWzCk,North Mountain Village,no,auto repair shop,auto_repair,2026-03-11T16:22:48.529Z,ChIJ4zvpB6ttK4cRXvJy2YoWzCk
4a,No Website + Some,Mario's Auto Repair,"10021 N Cave Creek Rd, Phoenix, AZ 85020",Phoenix,Arizona,(623) 239-8000,,5,5,Auto repair shop,Monday: 9 AM to 6 PM | Tuesday: 9 AM to 6 PM | Wednesday: 9 AM to 6 PM | Thursday: 9 AM to 6 PM | Friday: 9 AM to 6 PM | Saturday: 9 AM to 3 PM | Sunday: Closed,https://www.google.com/maps/search/?api=1&query=Mario's%20Auto%20Repair&query_place_id=ChIJD2O7ZV9tK4cR_i-gRKASu7E,North Mountain Village,no,auto repair shop,auto_repair,2026-03-11T16:22:48.529Z,ChIJD2O7ZV9tK4cR_i-gRKASu7E
4a,No Website + Some,Superior Automotive Repair,"22220 N 23rd Ave, Phoenix, AZ 85027",Phoenix,Arizona,(623) 582-6061,,5,10,Auto repair shop,Monday: 8 AM to 5:30 PM | Tuesday: 8 AM to 5:30 PM | Wednesday: 8 AM to 5:30 PM | Thursday: 8 AM to 5:30 PM | Friday: 8 AM to 5:30 PM | Saturday: Closed | Sunday: Closed,https://www.google.com/maps/search/?api=1&query=Superior%20Automotive%20Repair&query_place_id=ChIJJxzhaGNvK4cRFT39eo6nn2Y,Deer Valley,no,auto repair shop,auto_repair,2026-03-11T16:22:50.423Z,ChIJJxzhaGNvK4cRFT39eo6nn2Y
4a,No Website + Some,Rodriguez auto repair,"911 Main St, Pasadena, TX 77506, USA",Houston,TX,(832) 884-3223,,5,10,"car_repair, point_of_interest, service, establishment",Monday: 8:30 AM – 6:00 PM | Tuesday: 8:30 AM – 6:00 PM | Wednesday: 8:30 AM – 6:00 PM | Thursday: 8:30 AM – 6:00 PM | Friday: 8:30 AM – 6:00 PM | Saturday: 8:30 AM – 6:00 PM | Sunday: Closed,https://maps.google.com/?cid=10220159360770444665&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,no,"auto repair shop Pasadena, TX",auto_repair,2026-03-11T15:48:25.906367,ChIJ68_MMtejQIYReQ2bNspM1Y0
4a,No Website + Some,Gen1 Auto Body Repair,"4930 Allen-Genoa Rd bldg A, Pasadena, TX 77504, USA",Houston,TX,(281) 772-7162,,5,9,"car_repair, service, point_of_interest, establishment",Monday: 8:00 AM – 6:00 PM | Tuesday: 8:00 AM – 6:00 PM | Wednesday: 8:00 AM – 6:00 PM | Thursday: 8:00 AM – 6:00 PM | Friday: 8:00 AM – 6:00 PM | Saturday: 8:00 AM – 3:00 PM | Sunday: Closed,https://maps.google.com/?cid=14511829472823212236&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,no,"auto body shop Pasadena, TX",auto_repair,2026-03-11T15:48:28.978947,ChIJ5aTtDn2ZQIYRzPirwARgZMk
4a,No Website + Some,Royal Auto Repair,"15739 Lee Rd, Houston, TX 77032",Houston,Texas,(650) 770-5731,,4.9,10,Auto repair shop,Monday: 9 AM to 6 PM | Tuesday: 9 AM to 6 PM | Wednesday: 9 AM to 6 PM | Thursday: 9 AM to 6 PM | Friday: 9 AM to 6 PM | Saturday: 9 AM to 6 PM | Sunday: Closed,https://www.google.com/maps/search/?api=1&query=Royal%20Auto%20Repair&query_place_id=ChIJ4WWd1oOxQIYR_pqtybsZTmE,Iah / Airport Area,no,auto repair shop,auto_repair,2026-03-11T16:22:26.131Z,ChIJ4WWd1oOxQIYR_pqtybsZTmE
4a,No Website + Some,Obena Auto Repair,"735 Bennington St, Houston, TX 77022",Houston,Texas,(713) 692-4142,,4.8,5,Auto repair shop,,https://www.google.com/maps/search/?api=1&query=Obena%20Auto%20Repair&query_place_id=ChIJW7s8dle4QIYRGqcldG4eT8c,Northside / Northline,no,auto repair shop,auto_repair,2026-03-11T16:22:21.114Z,ChIJW7s8dle4QIYRGqcldG4eT8c
4a,No Website + Some,Mike's Tire & Auto Repair Service,"10001 Jensen Dr, Houston, TX 77093",Houston,Texas,,,4.8,4,Tire shop,Monday: 7 AM to 6 PM | Tuesday: 7 AM to 6 PM | Wednesday: 7 AM to 6 PM | Thursday: 7 AM to 6 PM | Friday: 7 AM to 6 PM | Saturday: 7 AM to 6 PM | Sunday: Closed,https://www.google.com/maps/search/?api=1&query=Mike's%20Tire%20%26%20Auto%20Repair%20Service&query_place_id=ChIJrc7819q5QIYRwGdvJ6ayo-M,Northeast Houston,no,auto repair shop,auto_repair,2026-03-11T16:22:23.859Z,ChIJrc7819q5QIYRwGdvJ6ayo-M
4a,No Website + Some,V & J Auto Repair,"605 W Watkins St, Phoenix, AZ 85003",Phoenix,Arizona,(602) 423-2870,,4.8,5,Auto repair shop,Monday: 9 AM to 4 PM | Tuesday: 9 AM to 4 PM | Wednesday: 9 AM to 4 PM | Thursday: 9 AM to 4 PM | Friday: 9 AM to 4 PM | Saturday: 9 AM to 4 PM | Sunday: Closed,https://www.google.com/maps/search/?api=1&query=V%20%26%20J%20Auto%20Repair&query_place_id=ChIJLcZmOZcRK4cRhWWcVecILBM,Shuttleworth,no,auto repair shop,auto_repair,2026-03-11T16:22:33.683Z,ChIJLcZmOZcRK4cRhWWcVecILBM
4a,No Website + Some,Islas Auto Repair LLC,"2040 W Durango St, Phoenix, AZ 85009",Phoenix,Arizona,(602) 339-4503,,4.8,9,"Auto body shop, Auto bodywork mechanic",Monday: 8 AM to 5 PM | Tuesday: 8 AM to 5 PM | Wednesday: 8 AM to 5 PM | Thursday: 8 AM to 5 PM | Friday: 8 AM to 5 PM | Saturday: Closed | Sunday: Closed,https://www.google.com/maps/search/?api=1&query=Islas%20Auto%20Repair%20LLC&query_place_id=ChIJd54nV3oRK4cRfb9uroO99C0,Central City South,no,auto repair shop,auto_repair,2026-03-11T16:22:35.939Z,ChIJd54nV3oRK4cRfb9uroO99C0
4a,No Website + Some,Mc Dowell Tire & Auto Service Llc,"2906 W McDowell Rd, Phoenix, AZ 85009",Phoenix,Arizona,(602) 689-9482,,4.8,4,Tire shop,Monday: 8 AM to 5 PM | Tuesday: 8 AM to 5 PM | Wednesday: 8 AM to 5 PM | Thursday: 8 AM to 5 PM | Friday: 8 AM to 5 PM | Saturday: 9 AM to 2 PM | Sunday: Closed,https://www.google.com/maps/search/?api=1&query=Mc%20Dowell%20Tire%20%26%20Auto%20Service%20Llc&query_place_id=ChIJ15m2nJcTK4cRZ-476nrsKoU,Franklin Village,no,auto repair shop,auto_repair,2026-03-11T16:22:44.902Z,ChIJ15m2nJcTK4cRZ-476nrsKoU
4a,No Website + Some,Samuels Auto Repair Services,"2522 Harlem St, Houston, TX 77020",Houston,Texas,(713) 673-0923,,4.7,7,Auto repair shop,Monday: 9 AM to 6 PM | Tuesday: 9 AM to 6 PM | Wednesday: 9 AM to 6 PM | Thursday: 9 AM to 6 PM | Friday: 9 AM to 6 PM | Saturday: 9 AM to 6 PM | Sunday: Closed,https://www.google.com/maps/search/?api=1&query=Samuels%20Auto%20Repair%20Services&query_place_id=ChIJMwu2wFC5QIYR29f_VTcQTBg,Northeast Houston,no,auto repair shop,auto_repair,2026-03-11T16:22:13.947Z,ChIJMwu2wFC5QIYR29f_VTcQTBg
4a,No Website + Some,Fulton Auto Repair,"8720 Fulton St, Houston, TX 77022",Houston,Texas,(832) 687-4057,,4.6,10,"Auto repair shop, Air conditioning repair service, Mechanic, General contractor",Monday: 8:30 AM to 5:30 PM | Tuesday: 8:30 AM to 5:30 PM | Wednesday: 8:30 AM to 5:30 PM | Thursday: 8:30 AM to 5:30 PM | Friday: 8:30 AM to 5:30 PM | Saturday: Closed | Sunday: Closed,https://www.google.com/maps/search/?api=1&query=Fulton%20Auto%20Repair&query_place_id=ChIJgbba-2q4QIYRc5CPmboiPhY,Northside / Northline,no,auto repair shop,auto_repair,2026-03-11T16:22:15.960Z,ChIJgbba-2q4QIYRc5CPmboiPhY
4a,No Website + Some,Adame Auto Electric E Repair,"1808 N 72nd Ln, Phoenix, AZ 85035",Phoenix,Arizona,(602) 359-7575,,4.6,9,Auto repair shop,Monday: 9 AM to 5 PM | Tuesday: 9 AM to 5 PM | Wednesday: 9 AM to 5 PM | Thursday: 9 AM to 5 PM | Friday: 9 AM to 5 PM | Saturday: Closed | Sunday: Closed,https://www.google.com/maps/search/?api=1&query=Adame%20Auto%20Electric%20E%20Repair&query_place_id=ChIJWTzn5fMVK4cRPbU7goW8oZQ,Maryvale Village,no,auto repair shop,auto_repair,2026-03-11T16:22:19.723Z,ChIJWTzn5fMVK4cRPbU7goW8oZQ
4a,No Website + Some,Arizona Carburetors And Auto Repair,"2046 W Buckeye Rd, Phoenix, AZ 85009",Phoenix,Arizona,(602) 271-9550,,4.6,9,Auto repair shop,,https://www.google.com/maps/search/?api=1&query=Arizona%20Carburetors%20And%20Auto%20Repair&query_place_id=ChIJx0QdoH0RK4cR_EQCEcoor9o,Central City South,no,auto repair shop,auto_repair,2026-03-11T16:22:40.569Z,ChIJx0QdoH0RK4cR_EQCEcoor9o
4a,No Website + Some,Tracey's Auto Repair,"2401 W McDowell Rd, Phoenix, AZ 85009",Phoenix,Arizona,(602) 488-9103,,4.5,8,Auto repair shop,Monday: 8 AM to 5 PM | Tuesday: 8 AM to 5 PM | Wednesday: 8 AM to 5 PM | Thursday: 8 AM to 5 PM | Friday: 8 AM to 5 PM | Saturday: 8 AM to 12 PM | Sunday: Closed,https://www.google.com/maps/search/?api=1&query=Tracey's%20Auto%20Repair&query_place_id=ChIJ-8UQydUTK4cRZ3g3TbxFOqc,Maryvale Village,no,auto repair shop,auto_repair,2026-03-11T16:22:39.824Z,ChIJ-8UQydUTK4cRZ3g3TbxFOqc
4a,No Website + Some,SPEED ZONE AUTO SERVICE AND TIRES,"4110 Tidwell Rd, Houston, TX 77093",Houston,Texas,(832) 848-1494,,4.3,6,"Tire shop, Repair service",Monday: 8 AM to 8 PM | Tuesday: 8 AM to 7:30 PM | Wednesday: 8 AM to 7:30 PM | Thursday: 8 AM to 7:30 PM | Friday: 8 AM to 7:30 PM | Saturday: 8:30 AM to 8 PM | Sunday: 9 AM to 7:30 PM,https://www.google.com/maps/search/?api=1&query=SPEED%20ZONE%20AUTO%20SERVICE%20AND%20TIRES&query_place_id=ChIJISN60p65QIYR6z9QkUamsrw,Northeast Houston,no,auto repair shop,auto_repair,2026-03-11T16:22:18.897Z,ChIJISN60p65QIYR6z9QkUamsrw
4a,No Website + Some,Xtreme Auto Repair & Body,"9030 Radio Rd, Houston, TX 77075",Houston,Texas,,,4.3,7,Auto repair shop,,https://www.google.com/maps/search/?api=1&query=Xtreme%20Auto%20Repair%20%26%20Body&query_place_id=ChIJJ2mYGQiXQIYRgaL6prIJZgg,Greater Hobby Area,no,auto repair shop,auto_repair,2026-03-11T16:23:06.215Z,ChIJJ2mYGQiXQIYRgaL6prIJZgg
4a,No Website + Some,Ben’s Auto Body Repair LLC,"6455 W Van Buren St Rd, Phoenix, AZ 85043",Phoenix,Arizona,(602) 622-1796,,4.3,9,Auto body shop,Monday: 9:30 AM to 6 PM | Tuesday: 9:30 AM to 6 PM | Wednesday: 9:30 AM to 6 PM | Thursday: 9:30 AM to 6 PM | Friday: 9:30 AM to 6 PM | Saturday: 10 AM to 4 PM | Sunday: Closed,https://www.google.com/maps/search/?api=1&query=Ben%E2%80%99s%20Auto%20Body%20Repair%20LLC&query_place_id=ChIJi_7TV5AVK4cRVA5-hhlpzhg,Van Buren Acres,no,auto repair shop,auto_repair,2026-03-11T16:22:31.643Z,ChIJi_7TV5AVK4cRVA5-hhlpzhg
4a,No Website + Some,Joaquins mobile automotive repair and services,"3130 E Palm Ln, Phoenix, AZ 85008",Phoenix,Arizona,(623) 640-7764,,4.3,6,Auto repair shop,Monday: Open 24 hours | Tuesday: Open 24 hours | Wednesday: Open 24 hours | Thursday: Open 24 hours | Friday: Open 24 hours | Saturday: Open 24 hours | Sunday: Open 24 hours,https://www.google.com/maps/search/?api=1&query=Joaquins%20mobile%20automotive%20repair%20and%20services&query_place_id=ChIJm71vvFwNK4cRya3P1gz5PSw,Camelback East Village,no,auto repair shop,auto_repair,2026-03-11T16:22:41.559Z,ChIJm71vvFwNK4cRya3P1gz5PSw
4a,No Website + Some,A's Auto Service LLC,"427 E Broadway Rd, Phoenix, AZ 85040",Phoenix,Arizona,(602) 276-9506,,4.2,5,Auto repair shop,Monday: 8 AM to 5 PM | Tuesday: 8 AM to 5 PM | Wednesday: 8 AM to 5 PM | Thursday: 8 AM to 5 PM | Friday: 8 AM to 5 PM | Saturday: Closed | Sunday: Closed,https://www.google.com/maps/search/?api=1&query=A's%20Auto%20Service%20LLC&query_place_id=ChIJSxgEGQARK4cRhALmppjmGus,Loch Place,no,auto repair shop,auto_repair,2026-03-11T16:22:37.349Z,ChIJSxgEGQARK4cRhALmppjmGus
4a,No Website + Some,Fatboy Auto Repair LLC (Jaimz LLC),"1841 W Linden St, Phoenix, AZ 85007",Phoenix,Arizona,(602) 675-1899,,4.2,5,"Auto repair shop, Tire shop",,https://www.google.com/maps/search/?api=1&query=Fatboy%20Auto%20Repair%20LLC%20(Jaimz%20LLC)&query_place_id=ChIJUen3-BFrK4cR921UoYDXIf8,Central City,no,auto repair shop,auto_repair,2026-03-11T16:22:40.569Z,ChIJUen3-BFrK4cR921UoYDXIf8
4a,No Website + Some,A&A TIRE AND AUTO SERVICE,"3717 E Lockwood Dr, Houston, TX 77026",Houston,Texas,(346) 744-7865,,4.1,9,"Auto repair shop, Tire shop",Monday: 8 AM to 7 PM | Tuesday: 8 AM to 7 PM | Wednesday: 8 AM to 7 PM | Thursday: 8 AM to 7 PM | Friday: 8 AM to 7 PM | Saturday: 8 AM to 4 PM | Sunday: Closed,https://www.google.com/maps/search/?api=1&query=A%26A%20TIRE%20AND%20AUTO%20SERVICE&query_place_id=ChIJ2e6NHly5QIYR7fjXNgXB1Jk,Northeast Houston,no,auto repair shop,auto_repair,2026-03-11T16:22:21.113Z,ChIJ2e6NHly5QIYR7fjXNgXB1Jk
