segment,segment_name,name,address,city,state,phone,website,rating,review_count,categories,hours,google_maps_url,neighborhood,has_website,search_term,vertical,scraped_at,place_id,review1_name,review1_stars,review1_text,review2_name,review2_stars,review2_text,review3_name,review3_stars,review3_text,review4_name,review4_stars,review4_text,review5_name,review5_stars,review5_text,facebook_url,instagram_url,email
4a,No Website + Some,BISMARCK AUTO REPAIR,"230 N 69th Ave, Phoenix, AZ 85043",Phoenix,Arizona,(480) 849-3982,,5,5,Auto repair shop,Monday: 8 AM to 6 PM | Tuesday: 8 AM to 6 PM | Wednesday: 8 AM to 6 PM | Thursday: 8 AM to 6 PM | Friday: 8 AM to 6 PM | Saturday: 8 AM to 4 PM | Sunday: Closed,https://www.google.com/maps/search/?api=1&query=BISMARCK%20AUTO%20REPAIR&query_place_id=ChIJuwRWUb8VK4cRw1bp1Y8KsOc,Estrella Village,no,auto repair shop,auto_repair,2026-03-11T16:22:19.718Z,ChIJuwRWUb8VK4cRw1bp1Y8KsOc,Noe Paz,5,"Very good experience, very attentive",,,,,,,,,,,,,https://www.facebook.com/p/Bismarck-Auto-Repair-100066488624410,,candidatecare@delta.com
4a,No Website + Some,MMC auto repair,"3946 W Buckeye Rd, Phoenix, AZ 85009",Phoenix,Arizona,,,5,5,Auto repair shop,Monday: 8:30 AM to 6 PM | Tuesday: 8:30 AM to 6 PM | Wednesday: 8:30 AM to 6 PM | Thursday: 8:30 AM to 6 PM | Friday: 8:30 AM to 6 PM | Saturday: Closed | Sunday: Closed,https://www.google.com/maps/search/?api=1&query=MMC%20auto%20repair&query_place_id=ChIJ6yksPdoVK4cR2XC4UXI0A0g,Homedale,no,auto repair shop,auto_repair,2026-03-11T16:22:22.595Z,ChIJ6yksPdoVK4cR2XC4UXI0A0g,Timm Burtis,5,"I highly recommend this mechanic....Mario has been my mechanic since 2019...my niece found him on craigs list ,yes craigs list and he has never streared us wrong …",Cristal De La Rosa,5,"I took my car here for a new cv axle replacement. And now my car is as good as new. The man that did service to my car, his name is Mario. He did a great job. I highly recommend his work and shop. Any problems I get, I take it straight to him.",José Delarosa,5,They do an amazing job! My go-to mechanic is Mario. He's really good at fixing cars and sending people on their way. 💯💯💯 …,Allan Padilla,5,"Mario is the best mechanic ever!!!
Very honest and reliable.",Lydia Enriquez,5,"Mario is an excellent mechanic with years of experience, and the service and attention he gives my car is exceptional. I highly recommend him! 💯🙌🙌🙌💯 …",https://www.facebook.com/p/MM-Automotive-100041371012932,,clerk@fresno.gov
4a,No Website + Some,Saucedo's auto repair,"1312 E Broadway Rd, Phoenix, AZ 85040",Phoenix,Arizona,(602) 486-8499,,5,7,Car repair and maintenance service,Monday: 8:30 AM to 6 PM | Tuesday: 8:30 AM to 6 PM | Wednesday: 8:30 AM to 6 PM | Thursday: 8:30 AM to 6 PM | Friday: 8:30 AM to 6 PM | Saturday: Closed | Sunday: Closed,https://www.google.com/maps/search/?api=1&query=Saucedo's%20auto%20repair&query_place_id=ChIJ5UVEg9QRK4cR_0GprRkjyOo,Center Grove,no,auto repair shop,auto_repair,2026-03-11T16:22:35.939Z,ChIJ5UVEg9QRK4cR_0GprRkjyOo,Aaron Garcia,5,"I have been going here for the last 5 years, best customer service and reasonable with prices services here is so good I have literally Uncle‘s aunts and other relatives coming here and also suggested to other folks who ask about auto …",Ashley Lopez,5,"We use Miguel Saucedo for all our auto repair. He is the best! Timely and efficient, does things well and all for a respectable price! Wouldn’t trust our cars to anyone else!",,,,,,,,,,https://www.facebook.com/saucedostruckrepair/videos/1539970209711880,https://www.instagram.com/saucedoslandscape,
4a,No Website + Some,Diaz Auto Repair,"1407 W Magnolia St, Phoenix, AZ 85007",Phoenix,Arizona,(602) 257-8751,,5,5,Auto repair shop,Monday: 9 AM to 5 PM | Tuesday: 9 AM to 5 PM | Wednesday: 9 AM to 5 PM | Thursday: 9 AM to 5 PM | Friday: 9 AM to 5 PM | Saturday: Closed | Sunday: Closed,https://www.google.com/maps/search/?api=1&query=Diaz%20Auto%20Repair&query_place_id=ChIJxyrdpJ4RK4cRLxyiZlELtIE,Shuttleworth,no,auto repair shop,auto_repair,2026-03-11T16:22:35.939Z,ChIJxyrdpJ4RK4cRLxyiZlELtIE,Siarra Rose,5,"Mr Diaz has always worked on my families cars! Great work, great customer service! Highly recommend!",Jerad Cassie Anastasia Lucas Raven,5,Great Service,,,,,,,,,,https://www.facebook.com/jimmy.diaz.906,https://www.instagram.com/edgardiaz480,Bluelinedogsaz@gmail.com
4a,No Website + Some,El Flaco Auto Repair LLC,"234 E Broadway Rd, Phoenix, AZ 85040",Phoenix,Arizona,(623) 234-0890,,5,5,"Auto repair shop, Auto body shop",Monday: 9 AM to 6 PM | Tuesday: 9 AM to 6 PM | Wednesday: 9 AM to 6 PM | Thursday: 9 AM to 6 PM | Friday: 9 AM to 6 PM | Saturday: Closed | Sunday: Closed,https://www.google.com/maps/search/?api=1&query=El%20Flaco%20Auto%20Repair%20LLC&query_place_id=ChIJLxGN28sRK4cRE-0jDAEHgdU,South Mountain Village,no,auto repair shop,auto_repair,2026-03-11T16:22:35.940Z,ChIJLxGN28sRK4cRE-0jDAEHgdU,Diane Santoyo,5,We take out cars to get fixed here and Nacho does great work on a timely manner.,Leobardo Morga,5,"Excellent mechanic, even better prices!!!!!

Highly recommended..",,,,,,,,,,https://www.facebook.com/laser101/posts/check-out-flacos-car-wash-on-the-bush-road-next-to-miss-lalies-whether-big-or-sm/4216185718478743,https://www.instagram.com/flaco_rccenter,
4a,No Website + Some,Fast & Affordable Auto Repair,"907 N 7th St, Phoenix, AZ 85006",Phoenix,Arizona,,,5,5,Auto repair shop,,https://www.google.com/maps/search/?api=1&query=Fast%20%26%20Affordable%20Auto%20Repair&query_place_id=ChIJi4zUzhASK4cRnJ6CIsG8OUg,Garfield,no,auto repair shop,auto_repair,2026-03-11T16:22:37.349Z,ChIJi4zUzhASK4cRnJ6CIsG8OUg,Miranda Brazil,5,"Memo, the owner is very friendly, even more
Affordable !! Recommend this shop to everyone. He’s done great work on our car. Brakes, rotors, struts, and ac.",Henry Marx,5,"Guillermo, the owner, is a very honest hard working man. I have been taking vehicles here for 3 years and will not stop anytime soon. 10/10",Cassie Alvarado,5,Owner is friendly. Very affordable.  Took my truck to get fixed and it runs great. Highly recommend this place.,Nilo Javier,5,Memo the owner of the shop is very friendly and helpful been taking my cars there for years now he always take care of the problem and reasonable prize highly recomemded,,,,,,helpinghandphxaz@gmail.com
4a,No Website + Some,Psycho auto repair,"3801 W Buchanan St, Phoenix, AZ 85009",Phoenix,Arizona,(602) 814-9208,,5,9,Auto repair shop,Monday: 8 AM to 5 PM | Tuesday: 8 AM to 5 PM | Wednesday: 8 AM to 5 PM | Thursday: 8 AM to 5 PM | Friday: 8 AM to 5 PM | Saturday: 9 AM to 3 PM | Sunday: Closed,https://www.google.com/maps/search/?api=1&query=Psycho%20auto%20repair&query_place_id=ChIJCaoIj54TK4cRYGNXgJaf4jM,Estrella Village,no,auto repair shop,auto_repair,2026-03-11T16:22:41.559Z,ChIJCaoIj54TK4cRYGNXgJaf4jM,Cristian Romero,5,"Took my 2020 Toyota Camry xse in cause my bumper was falling and the black plastic trim under the car was coming off. Quoted me how much and said he can get it fixed in 2 hours! Boom left my car, ran some errands came back and the guy was already done! Highly recommend!!!",Renan Nunez,5,"Best auto body shop in the valley, I have taken more than 5 cars and no complaints on any. Very fast and good work highly recommend. Agustin made everything very easy for me my cars were done in a week or less 👍 …",CG Customs,5,I took my truck in to get the front upper bumper repaired and the service was great and got the job done quickly. I’m definitely going to be bringing back my other cars for body work! Thanks again,Oscar Salinas,5,"Took my car for some minor work and agustin made sure he had it ready the same day! Excellent service and quality was top. Definitely going to recommend this place to friends and family.
⭐️ ⭐️ ⭐️ ⭐️ ⭐️",Stephanie Guerrero,5,My experience with psycho auto repair was incredible! I took my Jeep  Srt  and they made the whole process  so fast and easy for me highly recommended!,https://www.facebook.com/p/Psycho-Auto-Repair-100086491733376,,sales@boingo.com
4a,No Website + Some,No Hassle Auto Repair,"4335 N 7th St, Phoenix, AZ 85014",Phoenix,Arizona,(480) 453-6825,,5,5,Auto repair shop,Monday: 8 AM to 6 PM | Tuesday: 8 AM to 6 PM | Wednesday: 8 AM to 6 PM | Thursday: 8 AM to 6 PM | Friday: 8 AM to 4 PM | Saturday: Closed | Sunday: 10 AM to 6 PM,https://www.google.com/maps/search/?api=1&query=No%20Hassle%20Auto%20Repair&query_place_id=ChIJZTBSHN0TK4cRFpRnK123uC4,Encanto Village,no,auto repair shop,auto_repair,2026-03-11T16:22:46.391Z,ChIJZTBSHN0TK4cRFpRnK123uC4,Scott Watt,5,"I have a 2008 Porsche Cayenne. My fuel system was bad, I took the vehicle to two other mechanic shops and they couldn’t diagnose it, they both told me to take it to the Porsche dealership, which would cost me an arm and a leg. Someone told …",Jean Paul Iranzi,5,The best mechanic in Phoenix area with excellent service!,Jordan Juan,5,"Very friendly and accommodating, very transparent, helpful, and fixed everything in a timely manner",Nobel Nkurunziza,5,Excellent service!,Napua Alatini,5,"Every time I needed something done with my daughter’s car Keneti made himself available and always came thru for me. His prices are affordable. He’s an honest mechanic, which they are hard to come by nowadays.",,,
4a,No Website + Some,Levi's Automotive Repair,"4128 W Redfield Rd, Phoenix, AZ 85053",Phoenix,Arizona,(602) 799-9315,,5,4,Auto repair shop,Monday: 8 AM to 8 PM | Tuesday: 8 AM to 8 PM | Wednesday: 8 AM to 8 PM | Thursday: 8 AM to 8 PM | Friday: 8 AM to 8 PM | Saturday: 8 AM to 8 PM | Sunday: Closed,https://www.google.com/maps/search/?api=1&query=Levi's%20Automotive%20Repair&query_place_id=ChIJB8iC7YBpK4cRf0nm_fZXJRk,North Mountain Village,no,auto repair shop,auto_repair,2026-03-11T16:22:47.471Z,ChIJB8iC7YBpK4cRf0nm_fZXJRk,Ethan Mitchell,5,"Absolutely stellar service at a great price. Did a full workup on a used car I was unsure about buying. Gave it to me straight, did the necessary work exceptionally fast and well to get it 100%, and was super personable. Trust this guy with my life.",Ryan,5,"Very convenient, came to me and got the vehicle service done without any hiccups. Great work, great price thanks!",Jenna Meyer,5,"We are repeat customers. Levi is friendly, professional, courteous, and works hard to save his customers money.",Brad Satterfield Sr,5,Levi has good mechanical knowledge and works to reduce your expenses on a repair job. He can come to your house to do the jobs,,,,https://www.facebook.com/levisautorepair/photos,,
4a,No Website + Some,Legends auto mechanic,"3517 W Willow Ave, Phoenix, AZ 85029",Phoenix,Arizona,(480) 524-5769,,5,4,Auto repair shop,Monday: 7 AM to 6 PM | Tuesday: 7 AM to 6 PM | Wednesday: 7 AM to 6 PM | Thursday: 7 AM to 6 PM | Friday: 7 AM to 6 PM | Saturday: 7 AM to 6 PM | Sunday: 7 AM to 6 PM,https://www.google.com/maps/search/?api=1&query=Legends%20auto%20mechanic&query_place_id=ChIJf0iEvmtvK4cRU8qzNJJ5vvo,North Mountain Village,no,auto repair shop,auto_repair,2026-03-11T16:22:47.472Z,ChIJf0iEvmtvK4cRU8qzNJJ5vvo,Robert Wolf,5,"Alias swapped my motor for a very fair price and did it right, haven't had a single issue since, does very good work",Joe Mendez,5,"I've used legends for nearly 2 years on 2 separate vehicles, he's done quick solid work at a fair price, Alias will often meet later the same day that you call him, he'll get you a quote and it won't change later, he also helps educate you …",Jacob Rumsey,5,"Super nice guy that has lots of experience, helped me on his day off when I had to leave the area the next day",Nathan Menser,5,Got my car taken care of quickly at a very fair price!,,,,https://www.facebook.com/LegendsLuxuryAutoRepair,https://www.instagram.com/legendsautocollection,legendslar@gmail.com
4a,No Website + Some,Guarantee Auto,"1530 W Hatcher Rd, Phoenix, AZ 85021",Phoenix,Arizona,(602) 315-8951,,5,5,"Auto repair shop, Transmission shop",Monday: 9 AM to 6 PM | Tuesday: 9 AM to 6 PM | Wednesday: 9 AM to 6 PM | Thursday: 9 AM to 6 PM | Friday: 9 AM to 6 PM | Saturday: 9 AM to 6 PM | Sunday: Closed,https://www.google.com/maps/search/?api=1&query=Guarantee%20Auto&query_place_id=ChIJ4zvpB6ttK4cRXvJy2YoWzCk,North Mountain Village,no,auto repair shop,auto_repair,2026-03-11T16:22:48.529Z,ChIJ4zvpB6ttK4cRXvJy2YoWzCk,AJ Gibson,5,great shop owner prices are  very reasonable and same day service,Chace Hawk,5,Great service.,,,,,,,,,,https://www.facebook.com/GuaranteeAutos/videos/with-guarantee-autos-youre-always-guaranteed-come-down-and-check-out-our-new-inv/1304742850770433,,insurance.consumers@difi.az.gov
4a,No Website + Some,Mario's Auto Repair,"10021 N Cave Creek Rd, Phoenix, AZ 85020",Phoenix,Arizona,(623) 239-8000,,5,5,Auto repair shop,Monday: 9 AM to 6 PM | Tuesday: 9 AM to 6 PM | Wednesday: 9 AM to 6 PM | Thursday: 9 AM to 6 PM | Friday: 9 AM to 6 PM | Saturday: 9 AM to 3 PM | Sunday: Closed,https://www.google.com/maps/search/?api=1&query=Mario's%20Auto%20Repair&query_place_id=ChIJD2O7ZV9tK4cR_i-gRKASu7E,North Mountain Village,no,auto repair shop,auto_repair,2026-03-11T16:22:48.529Z,ChIJD2O7ZV9tK4cR_i-gRKASu7E,Timothy Gillespie,5,"Mario did an amazing job on my vehicle. He was honest, upfront, and didn’t pressure me into unnecessary work like other shops do. I really appreciated the transparency.",ashley kane,5,"Mario did a fantastic job on my vehicle. He was honest, clear, and never pressured me into extra work. The transparency made a big difference.",Caira L,5,"This shop is fantastic! honest, reliable, and does great work. He takes the time to explain what’s needed without pushing unnecessary services. Quality repairs at a fair price. Highly recommend!",Stanxed Errors,5,"Great customer service, great prices and fast work what more could you want ! Dropped my truck off and got it back within the same day and was told about all the information going on with my truck which is amazing most places don’t do that …",Omar Hammouri,5,Best mechanic around!,https://www.facebook.com/p/Marios-Auto-Repair-Service-100067332473788,https://www.instagram.com/marios_autorepair,avalonvillage@wearevision.com
4a,No Website + Some,Superior Automotive Repair,"22220 N 23rd Ave, Phoenix, AZ 85027",Phoenix,Arizona,(623) 582-6061,,5,10,Auto repair shop,Monday: 8 AM to 5:30 PM | Tuesday: 8 AM to 5:30 PM | Wednesday: 8 AM to 5:30 PM | Thursday: 8 AM to 5:30 PM | Friday: 8 AM to 5:30 PM | Saturday: Closed | Sunday: Closed,https://www.google.com/maps/search/?api=1&query=Superior%20Automotive%20Repair&query_place_id=ChIJJxzhaGNvK4cRFT39eo6nn2Y,Deer Valley,no,auto repair shop,auto_repair,2026-03-11T16:22:50.423Z,ChIJJxzhaGNvK4cRFT39eo6nn2Y,DTechTron,5,"Keith has worked on my car several times, many of my family members vehicles and he is the best out there that I know! I won't ever take my car anywhere else. He's very reliable, fast, affordable and he does the job right the first time! …",Mark Hamilton,5,"This master mechanic is GOOD and honest to the bone. I purchased a lemon, had nothing but problems with it for the first six months. Keith has properly diagnosed and repaired everything that went wrong with my truck from day one without …",Rick Legler,5,"I've known Keith for over 15 years, and I trust him completely! Hard to find a very experienced auto mechanic that is honest with you up front, he is a valued friend and I refer all my family and friends to him. Give him your business, you won't be disappointed!!!!!!",E Fed,5,"Brought my Charger to Keith for installation of aftermarket parts and his work was great. He gave me a fair and honest quote, and stayed in touch with me even though I’m sure I wasn’t his biggest job. I will be back with future parts installations and maintenance needs!",Greg Hardison,5,"Keith, the owner, is one of the fairest people I've ever dealt with in any kind of business.  The work is of supreme quality, and you can bet your life on an honest deal here.  I would recommend this shop to anyone needing any kind of …",https://www.facebook.com/pages/Superior-Auto-Repair/488207774680681,https://www.instagram.com/superiorautomotivepa,
4a,No Website + Some,Rodriguez auto repair,"911 Main St, Pasadena, TX 77506, USA",Houston,TX,(832) 884-3223,,5,10,"car_repair, point_of_interest, service, establishment",Monday: 8:30 AM – 6:00 PM | Tuesday: 8:30 AM – 6:00 PM | Wednesday: 8:30 AM – 6:00 PM | Thursday: 8:30 AM – 6:00 PM | Friday: 8:30 AM – 6:00 PM | Saturday: 8:30 AM – 6:00 PM | Sunday: Closed,https://maps.google.com/?cid=10220159360770444665&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,no,"auto repair shop Pasadena, TX",auto_repair,2026-03-11T15:48:25.906367,ChIJ68_MMtejQIYReQ2bNspM1Y0,Irma Lucadou,5,"""I have been taking my cars to Ricardo Rodriguez /RODRIGUEZ AUTO REPAIR for the last 5 years, and they are truly the best in the business. I have referred many of my relatives and they are also satisfied customers.  After dealing with …",Sergio Rodriguez,5,"Brought my car to get my racing suspension installed, beautiful quality work this guys definitely got down. 100% recommend",Denisse Lara,5,Ricardo is the best always has great customer service and is very fair,Bell Leon,5,"Ricardo and the guys are great.  Awesome work,  Awesome prices. 100% recommend Rodriguez Auto Repair.",Corado Granados,5,"Excellent service, fast, responsible and honest, 100% recommended",https://www.facebook.com/p/Rodriguez-Auto-Electric-Tire-Shop-100054544956753,https://www.instagram.com/rodriguezmechanical,Rodriguezautorepairllc24@gmail.com
