name,address,city,phone,website,rating,review_count,categories,hours,google_maps_url,search_term,scraped_at,facebook_url,instagram_url,tiktok_url,easy_url,easy_score,easy_review_count,google_review_count,facebook_review_count,madreviews_count,doctor_count,staff_count,site_score,comments,segment,segment_name
"מרפאת שיניים רמת גן - סיון שן בע""מ","
ארלוזורוב 11, רמת גן",רמת גן,03-673-6556,,4.0,40,מרפאת שיניים,שעות פעילות,https://www.google.com/maps/place/%D7%9E%D7%A8%D7%A4%D7%90%D7%AA+%D7%A9%D7%99%D7%A0%D7%99%D7%99%D7%9D+%D7%A8%D7%9E%D7%AA+%D7%92%D7%9F+-+%D7%A1%D7%99%D7%95%D7%9F+%D7%A9%D7%9F+%D7%91%D7%A2%22%D7%9E%E2%80%AD/data=!4m7!3m6!1s0x151d4bb5acfa3e79:0xa2539a6a781558a8!8m2!3d32.0793749!4d34.8134905!16s%2Fg%2F1td3bgpl!19sChIJeT76rLVLHRURqFgVeGqaU6I?authuser=0&hl=iw&rclk=1,מרפאת שיניים רמת גן גבעתיים,2026-02-22T19:05:53.771682,,,,,,,,,,,,0,No website,4b,Invisible Good - High Reviews
לידר דן רופא שיניים,"
דוד בן גוריון 228, גבעתיים",גבעתיים,03-573-4934,,4.7,7,רופא שיניים,שעות פעילות,https://www.google.com/maps/place/%D7%9C%D7%99%D7%93%D7%A8+%D7%93%D7%9F+%D7%A8%D7%95%D7%A4%D7%90+%D7%A9%D7%99%D7%A0%D7%99%D7%99%D7%9D%E2%80%AD/data=!4m7!3m6!1s0x151d4bad592c2f5f:0xaac239306eb6b9a2!8m2!3d32.0697768!4d34.8171679!16s%2Fg%2F1tcy_wst!19sChIJXy8sWa1LHRURorm2bjA5wqo?authuser=0&hl=iw&rclk=1,מרפאת שיניים רמת גן גבעתיים,2026-02-22T19:06:06.140796,,,,,,,,,,,,0,No website,4a,Invisible Good - Some Reviews
רופא שיניים ברמת גן,"
שדרות בן צבי 5, רמת גן",רמת גן,03-678-0708,,5.0,7,רופא שיניים,שעות פעילות,https://www.google.com/maps/place/%D7%A8%D7%95%D7%A4%D7%90+%D7%A9%D7%99%D7%A0%D7%99%D7%99%D7%9D+%D7%91%D7%A8%D7%9E%D7%AA+%D7%92%D7%9F%E2%80%AD/data=!4m7!3m6!1s0x151d4a57b6e8120d:0xb39ef65928056059!8m2!3d32.0582763!4d34.8270122!16s%2Fg%2F11h51k4h77!19sChIJDRLotldKHRURWWAFKFn2nrM?authuser=0&hl=iw&rclk=1,מרפאת שיניים רמת גן גבעתיים,2026-02-22T19:06:17.442428,,,,,,,,,,,,0,No website,4a,Invisible Good - Some Reviews
"מרפאת שיניים- ד""ר מ. סמי","
הרא""ה 24, רמת גן",רמת גן,03-672-4060,,4.8,6,מרפאת שיניים,שעות פעילות,https://www.google.com/maps/place/%D7%9E%D7%A8%D7%A4%D7%90%D7%AA+%D7%A9%D7%99%D7%A0%D7%99%D7%99%D7%9D-+%D7%93%22%D7%A8+%D7%9E.+%D7%A1%D7%9E%D7%99%E2%80%AD/data=!4m7!3m6!1s0x151d4a34a8d2fb8b:0x466137cf12df5003!8m2!3d32.0839906!4d34.8188107!16s%2Fg%2F11gfp3k05r!19sChIJi_vSqDRKHRURA1DfEs83YUY?authuser=0&hl=iw&rclk=1,מרפאת שיניים רמת גן גבעתיים,2026-02-22T19:07:13.246815,,,,,,,,,,,,0,No website,4a,Invisible Good - Some Reviews
מרפאת שיניים בת ים,"
הרצל 86, בת ים",בת ים,052-257-3816,,5.0,4,מרפאת שיניים,שעות פעילות,https://www.google.com/maps/place/%D7%9E%D7%A8%D7%A4%D7%90%D7%AA+%D7%A9%D7%99%D7%A0%D7%99%D7%99%D7%9D+%D7%91%D7%AA+%D7%99%D7%9D%E2%80%AD/data=!4m7!3m6!1s0x1502b3169a745eaf:0x662da773eb32ab2b!8m2!3d32.0188584!4d34.7459002!16s%2Fg%2F1q5bm3k67!19sChIJr150mhazAhURK6sy63OnLWY?authuser=0&hl=iw&rclk=1,מרפאת שיניים חולון בת ים,2026-02-22T19:09:00.156556,,,,,,,,,,,,0,No website,4a,Invisible Good - Some Reviews
"ד""ר אלפרד חורי","
בלפור 24, בת ים",בת ים,03-507-2705,,4.8,16,רופא שיניים,שעות פעילות,https://www.google.com/maps/place/%D7%93%22%D7%A8+%D7%90%D7%9C%D7%A4%D7%A8%D7%93+%D7%97%D7%95%D7%A8%D7%99%E2%80%AD/data=!4m7!3m6!1s0x1502b33bbf84df3b:0xc3a255b8512362e7!8m2!3d32.0288315!4d34.7448055!16s%2Fg%2F1tgpdhmh!19sChIJO9-EvzuzAhUR52IjUbhVosM?authuser=0&hl=iw&rclk=1,מרפאת שיניים חולון בת ים,2026-02-22T19:09:29.866648,,,,,,,,,,,,0,No website,4b,Invisible Good - High Reviews
"ד""ר לאה קידר - רופאת שיניים","
בלפור 79, בת ים",בת ים,052-912-5352,,4.3,6,רופא שיניים,שעות פעילות,https://www.google.com/maps/place/%D7%93%22%D7%A8+%D7%9C%D7%90%D7%94+%D7%A7%D7%99%D7%93%D7%A8+-+%D7%A8%D7%95%D7%A4%D7%90%D7%AA+%D7%A9%D7%99%D7%A0%D7%99%D7%99%D7%9D%E2%80%AD/data=!4m7!3m6!1s0x1502b3071026c017:0x304aed27995fd516!8m2!3d32.0219154!4d34.745649!16s%2Fg%2F11fs__j0_z!19sChIJF8AmEAezAhURFtVfmSftSjA?authuser=0&hl=iw&rclk=1,מרפאת שיניים חולון בת ים,2026-02-22T19:09:42.244918,,,,,,,,,,,,0,No website,4a,Invisible Good - Some Reviews
"ד""ר סולומון טוקוב - מרפאת שיניים בבת ים","
רוטשילד 32, בת ים",בת ים,03-634-5505,,5.0,4,רופא שיניים,שעות פעילות,https://www.google.com/maps/place/%D7%93%22%D7%A8+%D7%A1%D7%95%D7%9C%D7%95%D7%9E%D7%95%D7%9F+%D7%98%D7%95%D7%A7%D7%95%D7%91+-+%D7%9E%D7%A8%D7%A4%D7%90%D7%AA+%D7%A9%D7%99%D7%A0%D7%99%D7%99%D7%9D+%D7%91%D7%91%D7%AA+%D7%99%D7%9D%E2%80%AD/data=!4m7!3m6!1s0x1502b3a653ff792f:0x84cb4c665ed55365!8m2!3d32.0269411!4d34.7473808!16s%2Fg%2F11fq9_2fls!19sChIJL3n_U6azAhURZVPVXmZMy4Q?authuser=0&hl=iw&rclk=1,מרפאת שיניים חולון בת ים,2026-02-22T19:09:48.957148,,,,,,,,,,,,0,No website,4a,Invisible Good - Some Reviews
"ד""ר מיכאל פוסטלניק","
בר אילן 29, בת ים",בת ים,03-551-9290,,4.8,6,רופא שיניים,שעות פעילות,https://www.google.com/maps/place/%D7%93%22%D7%A8+%D7%9E%D7%99%D7%9B%D7%90%D7%9C+%D7%A4%D7%95%D7%A1%D7%98%D7%9C%D7%A0%D7%99%D7%A7%E2%80%AD/data=!4m7!3m6!1s0x1502b313b7d1e261:0x14ac9f64c5d519e5!8m2!3d32.0145264!4d34.7479241!16s%2Fg%2F1tg97dlc!19sChIJYeLRtxOzAhUR5RnVxWSfrBQ?authuser=0&hl=iw&rclk=1,מרפאת שיניים חולון בת ים,2026-02-22T19:10:12.116887,,,,,,,,,,,,0,No website,4a,Invisible Good - Some Reviews
דוקטור רנרט חיים,"
ירושלים 38, בת ים",בת ים,03-507-4122,,4.6,11,רופא שיניים,שעות פעילות,https://www.google.com/maps/place/%D7%93%D7%95%D7%A7%D7%98%D7%95%D7%A8+%D7%A8%D7%A0%D7%A8%D7%98+%D7%97%D7%99%D7%99%D7%9D%E2%80%AD/data=!4m7!3m6!1s0x1502b33eb83ff489:0xa065821568970f49!8m2!3d32.0259954!4d34.7477455!16s%2Fg%2F11b6vh57qf!19sChIJifQ_uD6zAhURSQ-XaBWCZaA?authuser=0&hl=iw&rclk=1,מרפאת שיניים חולון בת ים,2026-02-22T19:10:24.961016,,,,,,,,,,,,0,No website,4b,Invisible Good - High Reviews
רופא שיניים 24 עזרה ראשונה חולון | ד''ר רומן סטראיצקי,"
סוקולוב 78, חולון, 5833009",חולון,03-545-0578,,4.9,84,רופא שיניים,שעות פעילות,https://www.google.com/maps/place/%D7%A8%D7%95%D7%A4%D7%90+%D7%A9%D7%99%D7%A0%D7%99%D7%99%D7%9D+24+%D7%A2%D7%96%D7%A8%D7%94+%D7%A8%D7%90%D7%A9%D7%95%D7%A0%D7%94+%D7%97%D7%95%D7%9C%D7%95%D7%9F+%7C+%D7%93%27%27%D7%A8+%D7%A8%D7%95%D7%9E%D7%9F+%D7%A1%D7%98%D7%A8%D7%90%D7%99%D7%A6%D7%A7%D7%99%E2%80%AD/data=!4m7!3m6!1s0x1502b5fdaedd8a35:0x2c40b204fde9b18!8m2!3d32.0224166!4d34.7778175!16s%2Fg%2F11nz0w2vdn!19sChIJNYrdrv21AhURGJveTyALxAI?authuser=0&hl=iw&rclk=1,מרפאת שיניים חולון בת ים,2026-02-22T19:10:29.873442,,,,,,,,,,,,0,No website,4b,Invisible Good - High Reviews
"מרפאת שיניים ד""ר בליק","
ירושלים 69, בת ים",בת ים,054-203-9957,,4.1,16,רופא שיניים,,https://www.google.com/maps/place/%D7%9E%D7%A8%D7%A4%D7%90%D7%AA+%D7%A9%D7%99%D7%A0%D7%99%D7%99%D7%9D+%D7%93%22%D7%A8+%D7%91%D7%9C%D7%99%D7%A7%E2%80%AD/data=!4m7!3m6!1s0x1502b33da8a58ea9:0x1dec50d91c053401!8m2!3d32.026234!4d34.753289!16s%2Fg%2F11bx4lld21!19sChIJqY6lqD2zAhURATQFHNlQ7B0?authuser=0&hl=iw&rclk=1,מרפאת שיניים חולון בת ים,2026-02-22T19:10:33.140134,,,,,,,,,,,,0,No website,4b,Invisible Good - High Reviews
ד״ר נינו מקינולוב,"
הרצל 86, בת ים, 5947101",בת ים,052-257-3816,,5.0,4,מרפאת שיניים,שעות פעילות,https://www.google.com/maps/place/%D7%93%D7%B4%D7%A8+%D7%A0%D7%99%D7%A0%D7%95+%D7%9E%D7%A7%D7%99%D7%A0%D7%95%D7%9C%D7%95%D7%91%E2%80%AD/data=!4m7!3m6!1s0x1502b306c2fdc4c9:0x75e1ac023a51c738!8m2!3d32.0188584!4d34.7459002!16s%2Fg%2F11p0zf1792!19sChIJycT9wgazAhUROMdROgKs4XU?authuser=0&hl=iw&rclk=1,מרפאת שיניים חולון בת ים,2026-02-22T19:10:55.815007,,,,,,,,,,,,0,No website,4a,Invisible Good - Some Reviews
"ד""ר שמואלי אלדר - מרפאת שיניים","
הרב עוזיאל 11, בת ים",בת ים,03-507-4024,,5.0,3,רופא,,https://www.google.com/maps/place/%D7%93%22%D7%A8+%D7%A9%D7%9E%D7%95%D7%90%D7%9C%D7%99+%D7%90%D7%9C%D7%93%D7%A8+-+%D7%9E%D7%A8%D7%A4%D7%90%D7%AA+%D7%A9%D7%99%D7%A0%D7%99%D7%99%D7%9D%E2%80%AD/data=!4m7!3m6!1s0x1502b33e3e998f9f:0x8143402e61f5ceac!8m2!3d32.0226473!4d34.7482068!16s%2Fg%2F11b6v8c3sc!19sChIJn4-ZPj6zAhURrM71YS5AQ4E?authuser=0&hl=iw&rclk=1,מרפאת שיניים חולון בת ים,2026-02-22T19:11:03.140136,,,,,,,,,,,,0,No website,4a,Invisible Good - Some Reviews
מרפאת שיניים שפירא,"
הרצל 57 ב, בת ים",בת ים,054-655-7477,,5.0,5,רופא שיניים,שעות פעילות,https://www.google.com/maps/place/%D7%9E%D7%A8%D7%A4%D7%90%D7%AA+%D7%A9%D7%99%D7%A0%D7%99%D7%99%D7%9D+%D7%A9%D7%A4%D7%99%D7%A8%D7%90%E2%80%AD/data=!4m7!3m6!1s0x1502b32002cd1f43:0xe245214e170fead0!8m2!3d32.0212963!4d34.7434305!16s%2Fg%2F11ptrcv0px!19sChIJQx_NAiCzAhUR0OoPF04hReI?authuser=0&hl=iw&rclk=1,מרפאת שיניים חולון בת ים,2026-02-22T19:11:39.310884,,,,,,,,,,,,0,No website,4a,Invisible Good - Some Reviews
דר אספרנה שלמה מרפאת שיניים,"
ברל כצנלסון 16, בת ים",בת ים,03-507-3073,,4.7,3,מרפאת שיניים,שעות פעילות,https://www.google.com/maps/place/%D7%93%D7%A8+%D7%90%D7%A1%D7%A4%D7%A8%D7%A0%D7%94+%D7%A9%D7%9C%D7%9E%D7%94+%D7%9E%D7%A8%D7%A4%D7%90%D7%AA+%D7%A9%D7%99%D7%A0%D7%99%D7%99%D7%9D%E2%80%AD/data=!4m7!3m6!1s0x1502b3402c3f7793:0x92ff50ccc25a54eb!8m2!3d32.020005!4d34.7544814!16s%2Fg%2F11clswzs5g!19sChIJk3c_LECzAhUR61RawsxQ_5I?authuser=0&hl=iw&rclk=1,מרפאת שיניים חולון בת ים,2026-02-22T19:12:00.109030,,,,,,,,,,,,0,No website,4a,Invisible Good - Some Reviews
"ד""ר נובוסלסקי גריגורי","
ירושלים 37, בת ים",בת ים,054-448-2656,,4.9,29,מרפאת שיניים,,https://www.google.com/maps/place/%D7%93%22%D7%A8+%D7%A0%D7%95%D7%91%D7%95%D7%A1%D7%9C%D7%A1%D7%A7%D7%99+%D7%92%D7%A8%D7%99%D7%92%D7%95%D7%A8%D7%99%E2%80%AD/data=!4m7!3m6!1s0x1502b33eba25e44d:0xca387bb08a0e5d04!8m2!3d32.026187!4d34.7476095!16s%2Fg%2F1tdv9n00!19sChIJTeQluj6zAhURBF0OirB7OMo?authuser=0&hl=iw&rclk=1,מרפאת שיניים חולון בת ים,2026-02-22T19:12:04.516635,,,,,,,,,,,,0,No website,4b,Invisible Good - High Reviews
"ד""ר דוד קייקוב","
ההגנה 21, בת ים",בת ים,03-657-1242,,5.0,5,מרפאת שיניים,,https://www.google.com/maps/place/%D7%93%22%D7%A8+%D7%93%D7%95%D7%93+%D7%A7%D7%99%D7%99%D7%A7%D7%95%D7%91%E2%80%AD/data=!4m7!3m6!1s0x1502b33e9da62c7d:0xf890e6bad13ae182!8m2!3d32.0227901!4d34.7524459!16s%2Fg%2F11j6st8bq6!19sChIJfSymnT6zAhURguE60brmkPg?authuser=0&hl=iw&rclk=1,מרפאת שיניים חולון בת ים,2026-02-22T19:12:08.643131,,,,,,,,,,,,0,No website,4a,Invisible Good - Some Reviews
"ד""ר זאב זריקר","
ירושלים 53, בת ים",בת ים,03-506-1341,,4.7,3,רופא שיניים,,https://www.google.com/maps/place/%D7%93%22%D7%A8+%D7%96%D7%90%D7%91+%D7%96%D7%A8%D7%99%D7%A7%D7%A8%E2%80%AD/data=!4m7!3m6!1s0x1502b338b23f5f55:0xe5fc676cc304909c!8m2!3d32.0259568!4d34.7512982!16s%2Fg%2F1tfysl9l!19sChIJVV8_sjizAhURnJAEw2xn_OU?authuser=0&hl=iw&rclk=1,מרפאת שיניים חולון בת ים,2026-02-22T19:12:31.139549,,,,,,,,,,,,0,No website,4a,Invisible Good - Some Reviews
הוריקו,"
יוספטל 21, בת ים",בת ים,03-506-3949,,4.0,4,מרפאת שיניים,,https://www.google.com/maps/place/%D7%94%D7%95%D7%A8%D7%99%D7%A7%D7%95%E2%80%AD/data=!4m7!3m6!1s0x1502b317380be901:0x59deeebb3c5fa88d!8m2!3d32.0188933!4d34.742882!16s%2Fg%2F1tgc1_nb!19sChIJAekLOBezAhURjahfPLvu3lk?authuser=0&hl=iw&rclk=1,מרפאת שיניים חולון בת ים,2026-02-22T19:13:21.128016,,,,,,,,,,,,0,No website,4a,Invisible Good - Some Reviews
"ד""ר אילטוב מיכאל","
הרב ניסנבאום 37, בת ים",בת ים,054-527-8181,,4.0,8,רופא שיניים,,https://www.google.com/maps/place/%D7%93%22%D7%A8+%D7%90%D7%99%D7%9C%D7%98%D7%95%D7%91+%D7%9E%D7%99%D7%9B%D7%90%D7%9C%E2%80%AD/data=!4m7!3m6!1s0x1502b33e6d6a1cb3:0x8167d2f4c17f7fb7!8m2!3d32.013338!4d34.752433!16s%2Fg%2F1w0mdztn!19sChIJsxxqbT6zAhURt39_wfTSZ4E?authuser=0&hl=iw&rclk=1,מרפאת שיניים חולון בת ים,2026-02-22T19:13:28.509157,,,,,,,,,,,,0,No website,4a,Invisible Good - Some Reviews
דנטל ארט,"
בלפור 140, בת ים",בת ים,052-257-5449,,5.0,4,מרפאת שיניים,שעות פעילות,https://www.google.com/maps/place/%D7%93%D7%A0%D7%98%D7%9C+%D7%90%D7%A8%D7%98%E2%80%AD/data=!4m7!3m6!1s0x1502b30060a2d92b:0xd4945d69c078fadc!8m2!3d32.0128328!4d34.742033!16s%2Fg%2F11x5qvcy_m!19sChIJK9miYACzAhUR3Pp4wGldlNQ?authuser=0&hl=iw&rclk=1,מרפאת שיניים חולון בת ים,2026-02-22T19:13:35.692300,,,,,,,,,,,,0,No website,4a,Invisible Good - Some Reviews
ד״ר דוד קצמן,"
השר שפירא 6, בת ים",בת ים,054-433-0895,,5.0,6,מרפאת שיניים,שעות פעילות,https://www.google.com/maps/place/%D7%93%D7%B4%D7%A8+%D7%93%D7%95%D7%93+%D7%A7%D7%A6%D7%9E%D7%9F%E2%80%AD/data=!4m7!3m6!1s0x1502b37b16519d51:0x5b879bfc46a15879!8m2!3d32.0164487!4d34.7430352!16s%2Fg%2F11lf8ks00c!19sChIJUZ1RFnuzAhUReVihRvybh1s?authuser=0&hl=iw&rclk=1,מרפאת שיניים חולון בת ים,2026-02-22T19:13:50.668251,,,,,,,,,,,,0,No website,4a,Invisible Good - Some Reviews
פאנו סיטי,"
שדרות העצמאות 50, בת ים",בת ים,03-659-8868,,4.9,11,צילום שיניים,שעות פעילות,https://www.google.com/maps/place/%D7%A4%D7%90%D7%A0%D7%95+%D7%A1%D7%99%D7%98%D7%99%E2%80%AD/data=!4m7!3m6!1s0x1502b33ee9f1fdf5:0xe82b413079e85fea!8m2!3d32.025242!4d34.7482251!16s%2Fg%2F11h51k2rf_!19sChIJ9f3x6T6zAhUR6l_oeTBBK-g?authuser=0&hl=iw&rclk=1,מרפאת שיניים חולון בת ים,2026-02-22T19:14:08.972530,,,,,,,,,,,,0,No website,4b,Invisible Good - High Reviews
"ד""ר פנסנקו קונסטנטין","
בלפור 42, בת ים, 4622612",בת ים,03-658-2724,,4.7,3,רופא שיניים,,https://www.google.com/maps/place/%D7%93%22%D7%A8+%D7%A4%D7%A0%D7%A1%D7%A0%D7%A7%D7%95+%D7%A7%D7%95%D7%A0%D7%A1%D7%98%D7%A0%D7%98%D7%99%D7%9F%E2%80%AD/data=!4m7!3m6!1s0x1502b33c3f9ca33f:0x3b138e23d174b3c9!8m2!3d32.0260401!4d34.7450101!16s%2Fg%2F1tw_qgn0!19sChIJP6OcPzyzAhURybN00SOOEzs?authuser=0&hl=iw&rclk=1,מרפאת שיניים חולון בת ים,2026-02-22T19:14:25.308495,,,,,,,,,,,,0,No website,4a,Invisible Good - Some Reviews
